P001 Padang Besar,,,,,,,,
,,,,Votes,,,,
Loading...,,,,PN,BN,PH,BEBAS,WARISAN
,,,,353,248,381,54,19
,,,,1427,499,213,272,17
,,,,560,379,58,50,2
,,,,241,139,229,15,4
,,,,475,294,604,68,24
,,,,619,427,194,47,7
,,,,702,251,134,56,1
,,,,158,261,506,18,15
,,,,214,108,106,21,5
,,,,741,341,224,82,12
,,,,1383,668,407,136,9
,,,,1593,714,459,131,9
,,,,1459,760,599,193,12
,,,,1168,557,140,165,16
,,,,159,83,40,11,1
,,,,807,513,423,49,21
,,,,807,464,231,66,8
,,,,1216,562,114,45,6
,,,,1529,729,261,83,3
,,,,1013,390,302,30,6
,,,,956,463,224,63,4
,,,,503,296,139,47,2
,,,,1050,521,260,58,3
,,,,550,285,133,22,4
,,,,581,334,130,25,2
,,,,815,292,173,56,3
,,,,1288,431,161,34,0
