P005 Jerlun,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,PN,BN,PH,PEJUANG
Kota Siputeh (N03）,Kampung Bahagia,2005/03/01,SMK Tunku Bendahara,823,248,188,87
,Kampung Pering,2005/03/02,SK Siputeh,365,178,38,77
,Kampung Kandis,2005/03/03,SK Kodiang (Baru),507,265,169,69
,Pekan Kodiang,2005/03/04,SJK (C) Choong Hwa,1131,314,469,113
,Kampung Kodiang,2005/03/05,SK Tunku Bendahara,1587,495,222,151
,Kampung Siputeh,2005/03/06,SMA Jerlun,523,311,78,78
,Megat Dewa,2005/03/07,SK Megat Dewa,1044,177,266,71
,Bukit Hantu,2005/03/08,SK Dato' Syed Nahar,1320,311,134,95
,Mesjid Paya,2005/03/09,SK Dato' Syed Nahar,834,104,52,29
,Batu 4 Jalan Sanglang,2005/03/10,"Pertubuhan Peladang Kawasan B-2 Sanglang Batu 4, Jalan Sanglang",878,343,129,72
,Manggol,2005/03/11,SK Manggol Bongor,887,271,64,92
,Tok Kepak,2005/03/12,SK Tok Kepak,576,280,58,32
,Sg Korok 2 Mk Sanglang,2005/03/13,"SK Haji Wan Yahya, Jalan Sanglang",1124,418,131,108
,Sg Korok,2005/03/14,"SK Haji Wan Yahya, Jalan Sanglang",233,103,29,36
,Kampung Sanglang,2005/03/15,SK Sanglang,585,301,314,53
,Kerpan,2005/03/16,SJK (C) Lam Min,369,284,145,58
,Kuala Sanglang,2005/03/17,SMK Sanglang,758,314,238,116
Ayer Hitam (N04),Padang Sera,2005/04/01,SJK (C) Pei Min,249,105,333,64
,Kampung Melele,2005/04/02,"SMA Nahdhah Hasanah Melele, Padang Sera",1289,641,562,294
,Kampung Putat,2005/04/03,SK Putat,779,447,140,81
,Kampung Imam,2005/04/04,SMK Megat Dewa,712,306,94,137
,Telaga Batu,2005/04/05,SMK Tuanku Seri Indera Putera,1120,252,103,54
,Padang Perahu,2005/04/06,SK Padang Perahu,994,196,124,89
,Kampung Pida,2005/04/07,SK Pida Tiga,1163,396,61,95
,Kampung Gurindam,2005/04/08,SK Pulau Chapa,973,292,51,63
,Alor Biak,2005/04/09,SJK (C) Yuh Min,1256,274,222,62
,Kubang Sepat,2005/04/10,SMA Hidayah Islamiah,1005,261,178,59
,Lana Bulu,2005/04/11,SK Dato' Sri Syed Ahmad,1432,545,188,90
,Permatang Paku,2005/04/12,SK Matang Paku,1247,359,86,61
,Matang Bonglai,2005/04/13,SK Tunku Laksamana,1159,272,120,70
,Jerlun,2005/04/14,SMK Jerlun,933,460,303,141
,Lubok Pinang,2005/04/15,SMK Ayer Hitam,817,375,189,108
,Pekan Ayer Hitam,2005/04/16,SJK (C) Yuh Min,755,323,466,108
,Kampung Gandai,2005/04/17,SMK Ayer Hitam,907,268,85,61
,Kubang Nipah,2005/04/18,SK Jerlun,680,519,48,87
