Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
9,1995,1999,Hanafi Ramli,BN-UMNO,18012-55.51%,3576-11.02%
10,1999,2004,Abu Bakar Othman,PAS,1714-50.56%,380-1.12%
11,2004,2008,Abdul Rahman Ariffin,BN-UMNO,19123-52.97%,2142-5.94%
12,2008,2013,Mukhriz Mahathir,BN-UMNO,19424-53.01%,2205-6.02%
13,2013,2018,Othman Aziz,BN-UMNO,24161-53.63%,3270-7.26%
14,2018,2020,Mukhriz Mahathir,PH-BERSATU,18695-42.55%,5866-13.35%
14.25,2020,2020,Mukhriz Mahathir,BERSATU,N/A,N/A
14.5,2020,2020,Mukhriz Mahathir,INDEPENDENT,N/A,N/A
14.75,2020,2022,Mukhriz Mahathir,PEJUANG,N/A,N/A
15,2022,,Abdul Ghani Ahmad,PN-PAS,31685-60.69%,20456-39.18%
