Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
7,1986,1990,Othman Abdul,BN-UMNO,16886-51.37%,900-2.74%
8,1990,1995,Othman Abdul,BN-UMNO,20554-54.23%,3205-8.46%
9,1995,1999,Othman Abdul,BN-UMNO,20322-52.50%,1933-5.00%
10,1999,2002,Fadzil Noor,PAS,22413-53.51%,2939-7.02%
10.5,2002,2004,Othman Abdul,BN-UMNO,22825-50.31%,283-0.62%
11,2004,2008,Mohd Hayati Othman,PAS,24430-50.05%,50-0.10%
12,2008,2013,Mohd Hayati Othman,PAS,27311-54.03%,4073-8.06%
13,2013,2018,Othman Abdul,BN-UMNO,32165-52.14%，2638-4.28%
14,2018,2020,Awang Solahuddin Hashim,PAS,26536-42.36%，5808-9.33%
14.5,2020,2022,Awang Solahuddin Hashim,PN-PAS,49008-64.83%，31289-41.39%
15,2022,,Awang Solahuddin Hashim,PN-PAS,49008-64.83%,31289-41.39%
