P014 Merbok,,,,,,,,
,,,,Votes,,,,
State constituency,Polling Districts,Code,Location,PN,PH,BN,PEJUANG,WARISAN
Bukit Selambau (N25）,Kuala Sin,014/25/01,SK Kampung Kuala Sin,698,76,351,16,1
,Kampung Sungkap,014/25/02,SK Bukit Selambau,472,156,229,10,2
,Bukit Lembu,014/25/03,SK Aman Jaya,213,264,505,7,21
,Taman Bandar Baru,014/25/04,"- SMK Aman Jaya
   - SK Bandar Baru Sungai Lalang",4476,3043,1458,76,53
,Sungai Lalang,014/25/05,SJK (C) Chung Hwa,1104,1897,387,30,27
,Taman Desa Aman,014/25/06,SK Sungai Lalang,2554,1311,756,57,18
,Bandar Laguna Merbok,014/25/07,SK Bandar Laguna Merbok,1483,3157,407,55,20
,Tasek Apong,014/25/08,SK Tasek Apong,1034,2112,407,42,14
,Air Mendidih,014/25/09,SJK (T) Saraswathy,215,1310,194,12,15
,Jalan Badlishah,014/25/10,"Dewan Kompleks Penyayang, Jabatan Kebajikan Masyarakat Derah Kuala Muda",70,212,61,4,4
,Taman Peruda,014/25/11,SMK Bandar Sungai Petani,1163,1253,454,60,15
,Taman Ria Utara,014/25/12,SK Taman Ria,1661,1139,452,44,13
,United Petani,014/25/13,SJK (T) Arumugam Pillai,264,785,218,34,21
,Patani Para,014/25/14,SK Patani Para,19,87,64,2,10
,Bukit Rusa,014/35/15,"- SJK (T) Palanisamy Kumaran
   - SMK Taman Ria",2654,1714,567,49,39
,Pekan Bukit Selambau,014/25/16,SJK (C) Fuh Sun,1248,605,524,32,13
,Kampung Pokok Machang,014/25/17,SMK Bukit Selambau,976,141,373,12,4
,Batu Belachan,014/25/18,SK Seri Wangsa,482,105,219,3,5
,Titi Panjang,014/25/19,SK Dataran Muda,604,83,180,10,11
,Ambangan Height,014/25/20,SK Ambangan Height,2982,1084,546,80,5
,Taman Ria Selatan,014/25/21,Kolej Vokasional Sungai Petani 1,1448,1926,435,48,18
Tanjong Dawai (N26),Bujang,014/26/01,MRSM Merbok,2715,300,627,42,15
,Pekan Sabtu Merbok,014/26/02,SJK (C) Sin Hwa,701,353,239,5,3
,Simpang Tiga Pasir,014/26/03,SK Merbok (Pusat),1426,82,258,6,4
,Pekan Merbok,014/26/04,SMK Merbok,934,133,249,19,5
,Kampung Pasir,014/26/05,SK Kampong Pasir,812,45,250,4,3
,Kampung Huma,014/26/06,SK Tanjong Dawai,863,78,312,13,5
,Tanjong Dawai,014/26/07,SJK (C) Choong Cheng,1103,464,353,35,7
,Batu Hampar,014/26/08,SK Batu Hampar,1523,129,381,23,3
,Pengkalan Bujang,014/26/09,SK Haji Omar Tahir,801,79,395,16,0
,Sungai Gelam,014/26/10,SK Sultan Mudzaffar Shah,1151,72,457,9,3
,Sungai Jagong,014/26/11,SA Daris,1079,145,310,27,5
,Sungai Layar,014/26/12,SK Sungai Layar,2007,366,497,36,12
,Semeling Kanan,014/26/13,SK Semeling,1014,275,366,18,7
,Semeling Kiri,014/26/14,SJK (C) Ching Chong,809,933,229,21,13
,Kampung Bedong,014/16/15,SMK Bedong,1637,1425,482,30,27
,Taman Orkid,014/26/16,SMK Sungai Layar,894,543,172,45,5
,Taman Sri Tanjong,014/26/17,SK Tuan Syed Jan Al-Jaffri,1658,858,503,43,23
,Bunga Raya,014/26/18,SMK Ibrahim,196,856,196,14,10
,Sekolah Ibrahim,014/26/19,SK Ibrahim,1072,963,280,50,17
