P018 Kulim-Bandar Baharu,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,PN,PH,BN,PEJUANG
Kulim (N35),Kampung Tebuan,018/35/01,SK Seri Lindungan Raja,1177,125,466,5
,Ulu Mahang,018/35/02,SMK Mahang,1000,137,224,9
,Pekan Mahang,018/35/03,SK Mahang,690,149,219,7
,Ladang Sungai Dingin,018/35/04,SK Ladang Dublin,165,123,113,3
,FELDA Gunong Bongsu,018/35/05,SK Gunung Bongsu,893,204,512,24
,Karangan,018/35/06,SJK (C) Khai Min,688,457,280,16
,Terap,018/35/07,SK Terap,1066,128,596,14
,Ladang Sungai Ular,018/35/08,SJK (T) Ladang Sungai Ular,601,268,159,9
,Ladang Anak Kulim,018/35/09,SJK (T) Ladang Anak Kulim,126,338,89,4
,Jalan Tunku Bendahara,018/35/10,SJK (C) Chong Cheng,688,512,223,30
,Taman Kenari,018/35/11,SK Taman Kenari,3010,3136,782,45
,Taman Tunku Putra,018/35/12,SMK Taman Kenari,1111,1539,366,31
,Taman Seri Kulim,018/35/13,SK Kulim,363,389,164,15
,Pekan Kulim,018/35/14,SMA Tarbiyyah Diniah,56,404,33,6
,Jalan Tunku Putra,018/35/15,SMK St. Patrick,320,42,42,3
,Jalan Ibrahim,018/35/16,SMJK Chio Min,63,643,37,5
,Bukit Awi,018/35/17,SK Sri Kulim,177,449,94,14
,Taman Bersatu,018/35/18,SK Taman Jelutong,1462,1664,506,39
,Ayer Merah,018/35/19,Kolej MARA Kulim,653,1176,262,21
,Taman Anggerik,018/35/20,Kolej Vokasional Kulim,1645,1517,538,31
,Junjong,018/35/21,SK Junjong,194,726,98,3
,Padang Penyangga,018/35/22,SJK (C) Sin Min,1617,235,590,20
,Durian Burong,018/35/23,SJK (T) Ladang Somee,500,255,147,5
Bandar Baharu (N36),Sungai Batu,018/36/01,SK Sungai Batu,820,88,319,10
,Sungai Taka,018/36/02,SK Sungai Taka,837,95,341,4
,Sungai Tengas,018/36/03,SMK Selama,1186,293,486,18
,Selama,018/36/04,SK Selama,441,835,204,7
,Batu Lintang,018/36/05,SK Sungai Salleh,858,244,417,12
,Kampung Ee Guan,018/36/06,SMK Serdang Baru,401,643,253,6
,Pekan Serdang,018/36/07,SK Jalan Selama,521,1218,336,14
,Batu 16,018/36/08,SK Dato' Hj Zainuddin,1253,202,469,18
,Relau,018/36/09,SK Relau,1172,138,491,19
,Sungai Kechil Illir,018/36/10,SK Sungai Kechil Ilir,787,222,586,8
,Ayer Puteh,018/36/11,SK Ayer Puteh,653,1176,262,21
,Telok Sera,018/36/12,SK Lubok Buntar,666,85,309,15
,Pekan Lubok Buntar,018/36/13,SJK (C) Poay Chai,793,417,283,11
,Kerat Telunjok,018/36/14,SK Permatang Kerat Telunjuk,788,318,104,18
,Sungai Kechil Ulu,018/36/15,SK Sungai Kechil Ulu,948,807,390,14
,Parit Nibong,018/36/16,"- Pusat Sumber KEMAS Kegiatan Desa Parit Nibong
   - Kompleks / Pejabat Penghulu Mukim Bagan Samak",1167,176,380,12
,Permatang Pasir,018/36/17,SK Permatang Pasir,914,270,385,11
,Bandar Baharu,018/36/18,SK Bandar Baharu,937,391,306,11
