Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
1,1959,1963,Tan Tye Chek,Alliance-MCA,11317-69.59%,6371-39.18%
2,1964,1969,Tai Kuan Yang,Alliance-MCA,15077-68.77%,10492-47.86%
3,1971,1973,Tai Kuan Yang,Alliance-MCA,14381-69.28%,8003-38.56%
3.5,1973,1974,Tai Kuan Yang,BN-MCA,N/A,N/A
4,1974,1978,Azahari Md Taib,BN-UMNO,13888-72.76%,8688-45.52%
5,1978,1982,Abdul Kadir Sheikh Fadzir,BN-UMNO,16360-72.04%,10009-44.08%
6,1982,1986,Abdul Kadir Sheikh Fadzir,BN-UMNO,17097-64.48%,12254-46.22%
7,1986,1990,Abdul Kadir Sheikh Fadzir,BN-UMNO,21043-73.91%,13614-47.82%
8,1990,1995,Abdul Kadir Sheikh Fadzir,BN-UMNO,23149-70.90%,13650-41.80%
9,1995,1999,Abdul Kadir Sheikh Fadzir,BN-UMNO,22455-73.36%,14302-46.72%
10,1999,2004,Abdul Kadir Sheikh Fadzir,BN-UMNO,20764-62.05%,8067-24.10%
11,2004,2008,Abdul Kadir Sheikh Fadzir,BN-UMNO,22556-60.77%,7998-21.54%
12,2008,2010,Zulkifli Noordin,PKR,22255-57.17%,5583-14.34%
12.5,2010,2013,Zulkifli Noordin,INDEPENDENT,N/A,N/A
13,2013,2018,Abdul Aziz Sheikh Fadzir,BN-UMNO,26782-51.81%,1871-3.62%
14,2018,2022,Saifuddin Nasution Ismail,PH-PKR,22159-42.62%,4860-8.95%
15,2022,,Roslan Hashim,PN-BERSATU,34469-49.00%,13061-18.56%
