P024 Kubang Kerian,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,PN,BN,PH,PEJUANG
Salor (N17）,Wakaf Zain,024/17/01,SK Pendek,260,90,93,3
,Kota Selatan,024/17/02,SK Seri Kota,1239,448,412,11
,Pendek,024/17/03,SK Pendek,1334,336,364,17
,Larak,024/17/04,SK Mulong (2),772,246,135,14
,Mulong,024/17/05,SMK Mulong,1361,294,222,31
,Telok Kandis,024/17/06,SMK Salor,718,177,127,2
,Salor,024/17/07,SMK Salor,1063,341,300,9
,Kampung Kubang Rawa,024/17/08,SK Salor,1370,527,334,33
,Seberang Pasir Mas,024/17/09,SK Seberang Pasir Mas,1054,538,290,8
,Pengkalan Kubor,024/17/10,SK Pengkalan Kubor Salor,946,337,178,14
,Dewan,024/17/11,SMK Dewan Beta,1058,380,103,9
,Beta Hilir,024/17/12,SK Dewan Beta,1249,454,210,8
,Lubok Jambu,024/17/13,SK Mulong,751,172,59,4
,Kampung Kor,024/17/14,SK Kor,1081,290,22,9
,Beta Hulu,024/17/15,SK Beta Hulu,1190,237,113,7
,Kedai Piah,024/17/16,SK Kedai Piah,1247,222,110,8
Pasir Tumboh (N18）,Padang Enggang,024/18/01,SMK Padang Enggang,1577,405,265,11
,Pasir Hor,024/18/02,SK Pasir Hor,1809,575,344,26
,Tiong,024/18/03,SK Tiong,1571,464,241,19
,Tunjong,024/18/04,Dewan Sri Tunjong JPN Kelantan,1475,412,172,7
,Kampung Parit,024/18/05,SK Seribong,1766,537,278,21
,Pasir Tumboh,024/18/06,SK Long Gafar,1950,465,498,33
,Kampung Terusan,024/18/07,MRSM Pasir Tumboh,1478,122,170,5
,Guntong,024/18/08,SMK Long Gafar,1514,319,247,7
,Lating,024/18/09,SK Kampong Keling,1260,550,203,16
,Nilam Baru,024/18/10,Kolej Islam Antarabangsa Sultan Ismail Petra,1154,163,76,13
,Gong Dermin,024/18/11,SK Gong Dermin,1362,294,271,14
,Kampung Padang,024/18/12,SMK Puteri Saadong,1634,321,173,11
Demit（N19）,Demit,024/19/01,SK Kubang Kerian 3,1961,371,357,26
,Wakaf Tanjong,024/19/02,SK Mentuan,1358,322,206,19
,Mentuan,024/19/03,SK Mentuan,1097,317,129,17
,Kenali,024/19/04,SMK Kubang Kerian,3210,722,1105,57
,Pulong,024/19/05,Maahad Ar-Rahmah Kenali,694,212,87,18
,Kampung Chicha,024/19/06,SK Kubang Kerian (2),1694,388,460,30
,Kampung Wakaf Stan,024/19/07,SK Wakaf Stan,2138,420,299,30
,Binjai,024/19/08,SMA (Arab) Al-Yunusiah,1837,426,250,15
,Lubok Pukol,024/19/09,SK Banggu,1658,318,126,36
,Banggu,024/19/10,SK Banggu,995,351,83,8
,Mentera,024/19/11,SK Mentera,1133,406,93,9
,Huda,024/19/12,SK Kubang Kerian (1),1344,277,46,32
