P026 Ketereh,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,PN,BN,PH,PEJUANG
Melor (N23),Peringat,026/23/01,SK Peringat,1529,539,327,6
,Badak Mati,026/23/02,SK Padang Mokan,1980,916,213,12
,Bechah Keranji,026/23/03,SK Bechah Keranji,1847,715,144,5
,Padang Kala,026/23/04,SK Padang Kala,2081,965,279,11
,Padang Raja,026/23/05,SMA Melor,1275,474,141,6
,Melor,026/23/06,SMK Melor,904,256,137,5
,Melor Lama,026/23/07,SK Sri Melor,861,372,54,4
,Tegayong,026/23/08,SK Tegayong,1668,691,199,4
,Pangkal Pisang,026/23/09,SK Raja Abdullah,806,391,83,4
Kadok (N24),Lachang,026/24/01,GIATMARA Ketereh,462,205,57,3
,Buloh Poh,026/24/02,SK Buloh Poh,897,390,89,4
,Berangan,026/24/03,SK Kadok,698,303,82,4
,Perol,026/24/04,SK Perol,1415,550,254,8
,Kadok,026/24/05,SMK Kadok,1715,482,163,6
,Kampung Talang,026/24/06,SMU (A) Hamidah Padang Lepai,742,309,74,0
,Dusun Rendah,026/25/07,SMU (A) Ittihadiah Tanjung Pagar,1256,532,182,1
,Binjal,026/24/08,SK Kubang Kiat,2272,599,221,15
,But Chengal,026/24/09,SK Kampong Chengal,1128,505,129,7
Kok Lanas (N25),Kampung Gondang,026/25/01,SK Gondang,1099,449,130,3
,Padang Tengah,026/25/02,SMU (A) Ittihadiah Tanjung Pagar,764,797,46,1
,Ketereh,026/25/03,SK Seri Ketereh,2453,903,376,15
,Padang Lembek,026/25/04,SK Ketereh,948,483,65,4
,Hutan Pasir,026/25/05,SMK Ketereh,763,552,50,7
,Kampung Guntong,026/25/06,SMK Kok Lanas,931,526,97,3
,Pangkal Kalong,026/25/07,SK Pangkal Kalong,1074,389,87,8
,Kedai Kok Lanas,026/25/08,SK Kok Lanas,3085,1159,542,22
,Setek,026/25/09,SM Persendirian Cina Chung Hwa,632,348,39,28
,Kampung Batu Tinggi,026/25/10,SK Banggol Saman,891,479,39,8
,Kampung Sokor,026/25/11,SK Desa Pahlawan,1867,597,122,6
