P030 Jeli,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,PN,BN,PH,PEJUANG
Bukit Bunga (N36）,Bukit Bunga,030/36/01,SMK Bukit Bunga,1072,524,36,4
,Jakar,030/36/02,SK Nik Daud,710,336,27,1
,Nibong,030/36/03,SK Nik Daud,476,281,29,1
,Jedok Tua,030/36/04,SMU (A) Arab Darul Naim,557,383,12,1
,Lalang Pepuyu,030/36/05,SK Lalang Pepuyu,737,446,57,0
,Batu Gajah,030/36/06,SK Batu Gajah,1540,485,69,4
,Asahan,030/36/07,SMK Tan Sri Mohamed Yaacob,988,275,34,0
,Lawang,030/36/08,SK Lawang,1777,825,75,2
,Gual Jedok,030/36/09,SK Gual Jedok,529,368,21,10
,Air Canal,030/36/10,SK Ayer Chanal,452,453,19,2
Air Lanas (N37）,Kalai,030/37/01,SK Kalai,806,434,25,0
,Gunong,030/37/02,SK Batu Melintang,1230,348,36,11
,Bandar Jeli,030/37/03,SK Jeli (1),1994,731,80,12
,Gemang,030/37/04,SK Gemang,1655,790,70,17
,Air Lanas,030/37/05,"Maahad Al-Sabirin, Ayer Lanas",893,511,51,1
,Legeh,030/37/06,SK Legeh,644,204,13,0
,Sungai Satan,030/37/07,SK Legeh,980,320,19,1
,Berdang,030/37/08,SK Pasir Dusun,1415,652,44,9
,Pos Sungai Rual,030/37/09,SK Sungai Rual,396,24,2,3
,Kedai Air Lanas,030/37/10,SMK Ayer Lanas,1083,438,66,5
Kuala Balah (N38）,Batu Melintang,030/38/01,SMK Batu Melintang,618,395,26,11
,Pendok,030/38/02,SK Pendok,651,383,18,3
,Sungai Long,030/38/03,SK Sungai Long,707,224,5,2
,Lubok Bongor,030/38/04,SK Lubok Bongor,1158,681,42,6
,Kubor Datu,030/38/05,SK Kubor Datu,769,455,32,3
,Jerimbong,030/38/06,SK Bukit Jering,1224,787,64,1
,Kedai Kuala Balah,030/38/07,SK Kuala Balah,612,472,46,4
,Kampung Bharu Tg. Abd. Rahman Putra,030/38/08,SMK Kuala Balah,772,429,55,9
