Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
9,1995,1999,Mustapa Mohamed,BN-UMNO,13301-51.10%,572-2.20%
10,1999,2004,Mohd Apandi Mohamad,PAS,15523-51.14%,693-2.28%
11,2004,2008,Mustapa Mohamed,BN-UMNO,16960-63.84%,7353-27.68%
12,2008,2013,Mustapa Mohamed,BN-UMNO,17168-57.42%,4436-14.84%
13,2013,2018,Mustapa Mohamed,BN-UMNO,21345-57.14%,5336-14.28%
14,2018,2018,Mustapa Mohamed,BN-UMNO,21665-55.89%,6647-17.14%
14.25,2018,2018,Mustapa Mohamed,INDEPENDENT,N/A,N/A
14.5,2018,2020,Mustapa Mohamed,PH-BERSATU,N/A,N/A
14.75,2020,2022,Mustapa Mohamed,PN-BERSATU,N/A,N/A
15,2022,2024,Zahari Kechik,PN-BERSATU,27072-63.03%,12464-29.02%
15.5,2024,,Zahari Kechik,INDEPENDENT,N/A,N/A
