P034 Setiu,,,,,,,
,,,,Votes,,,
State constituency,Polling district,Code,Location,PN,BN,PH,PEJUANG
Jabi (N05),Kuala Kubang,1934/05/01,SK Jabi,1287,772,50,7
,Apal,1934/05/02,SK Apal,1634,785,97,10
,Tanah Merah,1934/05/03,SK Kerandong,1605,853,53,11
,Kerandang,1934/05/04,SK Bukit Tempurong,1025,790,32,6
,Jabi,1934/05/05,SMK Jabi,859,610,65,9
,Renek,1934/05/06,SK Renek,1085,589,66,4
,Tempinis,1934/05/07,SK Tempinis,1472,927,43,2
,Bukit Jeruk,1934/05/08,SK Bukit Jerok,785,586,27,4
,Tok Dor,1934/05/09,SK Tok Dor,1816,1226,61,2
Permaisuri (N06),Gong Batu,1934/06/01,SK Kuala Setiu,477,292,23,3
,Bintang,1934/06/02,SK Bintang,1562,671,46,1
,Fikri,1934/06/03,SK Kampung Fikri,392,285,31,4
,Mangkuk,1934/06/04,SK Mangkok,355,208,17,1
,Guntung Dalam,1934/06/05,SK Guntong,757,465,20,3
,Guntung Luar,1934/06/06,SMK Guntong,1025,740,34,6
,Kampung Besut,1934/06/07,SK Kampong Besut,1073,381,17,0
,Permaisuri,1934/06/08,SK Kampung Buloh,1697,748,80,8
,Putera Jaya,1934/06/09,SK Putera Jaya,1330,540,69,6
,Banggul,1934/06/10,SK Banggol,1141,655,20,3
,Penarik,1934/06/11,SMK Penarek,494,447,31,4
,Bari,1934/06/12,SK Bari,573,441,22,3
,Telaga Papan,1934/06/13,SK Telaga Papan,677,380,12,1
,Merang,1934/06/14,SK Merang,1168,763,49,6
,Rhu Sepuluh,1934/06/15,SK Rhu Sepuluh,615,585,38,2
,Saujana,1934/06/16,SK Saujana,939,601,64,2
Langkap (N07),Kampung Rahmat,1934/07/01,SK Kampung Rahmat,1365,577,78,9
,Gong Terap,1934/07/02,SK Chalok,1202,729,35,7
,Bukit Putera,1934/07/03,SK Bukit Putera,448,293,11,1
,Chalok Barat,1934/07/04,SK (FELDA) Chalok Barat,1335,712,47,4
,Langkap,1934/07/05,SK Langkap,1001,884,22,7
,Pengkalan Merbau,1934/07/06,SK Sungai Tong,542,458,22,1
,Sungai Bari,1934/07/07,SK Batu 29,352,220,14,2
,Jelapang,1934/07/08,SK Jelapang,483,407,8,1
,Sungai Tong,1934/07/09,SMK Sungai Tong,982,712,51,5
,Pelung,1934/07/10,SK Pelong,399,450,13,1
,Kampung Bukit,1934/07/11,SK Kampung Bukit,635,433,12,1
,Bukit Munduk,1934/07/12,SK Bukit Mundok,456,408,6,3
,Chalok Kedai,1934/07/13,SMK Chalok,734,327,34,2
Batu Rakit (N08),Pulau Redang,1934/08/01,SK Pulau Redang,309,549,3,1
,Mengabang Lekar,1934/08/02,SK Pagar Besi,1501,841,59,6
,Darat Batu Rakit,1934/08/03,SK Darat Batu Rakit,1372,1023,49,2
,Batu Rakit,1934/08/04,SK Batu Rakit,1846,1286,96,3
,Maras,1934/08/05,SK Maras,1012,622,36,2
,Bukit Wan,1934/08/06,SK Bukit Wan,795,908,20,3
,Bukit Cempaka,1934/08/07,SMK Bukit Chempaka,918,764,32,1
,Padang Kemunting,1934/08/08,SMK Tengku Mizan Zainal Abidin,977,655,42,4
,Wakaf Tengah,1934/08/09,SMK Kompleks Mengabang Telipot,1469,506,119,5
,Mengabang Teliput,1934/08/10,SMK Telipot,1558,921,77,5
,Mengabang Telung,1934/08/11,SK Kompleks Mengabang Telipot,2168,974,130,13
