Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
7,1986,1990,Mohamed Yusof Mohamed Noor,BN-UMNO,14714-62.46%,5872-24.92%
8,1990,1995,Tengku Mahmud Tengku Mansor,BN-UMNO,16061-57.05%,3969-14.10%
9,1995,1999,Tengku Mahmud Tengku Mansor,BN-UMNO,17963-57.73%,4808-15.46%
10,1999,2004,Che Ghani Che Ambak,PAS,18477-54.45%,3020-8.90%
11,2004,2008,Mohd Yusop Majid,BN-UMNO,24546-58.88%,7405-17.76%
12,2008,2013,Mohd Jidin Shafee,BN-UMNO,26610-57.86%,7232-15.72%
13,2013,2018,Che Mohamad Zulkifly Jusoh,BN-UMNO,33198-56.79%,7943-13.58%
14,2018,2020,Shaharizukarnain Abd Kadir,PAS,35020-48.65%,2802-3.89%
14.5,2020,2022,Shaharizukarnain Abd Kadir,PN-PAS,N/A,N/A
15,2022,,Shaharizukarnain Abd Kadir,PN-PAS,50768-59.85%,19032-22.44%
