P035 Kuala Nerus,,,,,,,
,,,,Votes,,,
State constituency,Polling district,Code,Location,PN,BN,PH,PEJUANG
Tepuh (N09),FELDA Belara,1935/09/01,SK LKTP Belara,570,495,24,3
,Gemuruh,1935/09/02,SK Kampung Gemuroh,975,550,27,4
,Bukit Guntung,1935/09/03,SK Bukit Guntong,1117,760,25,11
,Tepuh,1935/09/04,SK Bukit Nenas,2245,1132,72,4
,Padang Air,1935/09/05,SK Padang Air,1497,554,125,5
,Tok Jiring,1935/09/06,SMA Dato' Haji Abbas,2459,619,179,6
,Padang Nanas,1935/09/07,Dewan Sivik Padang Nenas,1735,717,132,15
,Taman Perumahan Gong Badak,1935/09/08,SK Gong Badak,1626,674,163,9
,Lerek,1935/09/09,SMK Bukit Guntong,1148,698,41,4
,Gong Datuk,1935/09/10,SK Tanjung Gelam,1446,477,110,3
,Wakaf Tembesu,1935/09/11,SMK Kompleks Gong Badak,1245,393,162,5
Buluh Gading (N10),Bukit Petiti,1935/10/01,SK Bukit Petiti,816,540,29,1
,Banggul Peradung,1935/10/02,SK Banggol Peradong,2556,863,44,13
,Kebur Besar,1935/10/03,SK Kabor Besar,1122,780,23,1
,Kebur Air,1935/10/04,SK Kebor Ayer,1221,381,17,0
,Jeram,1935/10/05,SMK Dato' Haji Mohd Said,1831,798,72,18
,Petai Bubus,1935/10/06,"- SK Kampong Tengah
   - Kompleks Usahawan Terengganu",2590,1395,281,16
,Teluk Pusu,1935/10/07,SMK Haji Abdul Rahman Limbong,2459,792,121,5
,Tanjung Bunut,1935/10/08,SK Telok Pusu,530,190,28,2
,Kesum,1935/10/09,SK Kesom,1097,687,28,3
,Buluh Gading,1935/10/10,Dewan Sivik Buluh Gading,1130,363,31,2
Seberang Takir (N11),Tok Jembal,1935/11/01,SK Tok Jembal,2217,1097,315,21
,Bukit Tok Beng,1935/11/02,SK Bukit Tok Beng,1085,424,60,7
,Kampung Batin,1935/11/03,SK Kompleks Seberang Takir,2134,965,129,5
,Kampung Baru Seberang Takir,1935/11/04,SMK Kompleks Seberang Takir,1167,958,52,2
,Seberang Takir Pantai,1935/11/05,SK Seberang Takir,891,800,60,6
,Teluk Ketapang,1935/11/06,SK Teluk Ketapang,1464,679,109,14
,Telaga Daing,1935/11/07,SMK Ibrahim Fikri,1386,850,116,11
,Telaga Batin,1935/11/08,Kem Pengakap Tengku Muhammad Ismail,838,426,89,6
,Kubang Badak,1935/11/09,Dewan Serbaguna Tok Jemal,1237,701,193,13
Bukit Tunggal (N12),Batu Enam,1935/12/01,"- SMK Kompleks Tembesu
   - SK Tok Jering",2694,764,156,17
,Pak Katak,1935/12/02,Kolej Vokesional Wakaf Tembesu,1173,355,123,7
,Bukit Tumbuh,1935/12/03,SK Bukit Tumbuh,1362,590,81,12
,Bukit Tunggal,1935/12/04,"- SK Bukit Tunggal
   - Balai Raya Dan Futsal Seberang Baruh",2887,1396,174,13
,Duyung,1935/12/05,SK Duyong,1737,844,72,7
,Pulau Ketam,1935/12/06,Dewan Sivik Pulau Duyong,612,339,31,3
,Gong Kijang,1935/12/07,SMK Bukit Tunggal,841,608,118,3
