Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
4,1974,1978,Nik Hassan Abdul Rahman,BN-UMNO,10894-59.22%,6478-35.22%
5,1978,1982,Nik Hassan Abdul Rahman,BN-UMNO,N/A,N/A
6,1982,1986,Ibrahim Azmi Hassan,BN-UMNO,13325-51.25%,1368-5.26%
7,1986,1990,Ibrahim Azmi Hassan,BN-UMNO,15823-64.98%,7296-29.96%
8,1990,1995,Abdul Rashid Muhammad,BN-UMNO,17366-55.81%,3617-11.62%
9,1995,1999,Abdul Rahin Mohd Said,BN-UMNO,17643-53.35%,2218-6.70%
10,1999,2004,M Shukrimum Shamsudin,PAS,21608-59.79%,7078-19.58%
11,2004,2008,Che Azmi Abdul Rahman,BN-UMNO,24895-54.48%,4097-8.96%
12,2008,2013,Mohd Nasir Ibrahim Fikri,BN-UMNO,26439-51.30%,1341-2.60%
13,2013,2018,Khairuddin Aman Razali,PAS,33861-50.45%,610-0.90%
14,2018,2020,Khairuddin Aman Razali,PAS,37974-52.66%,8447-11.71%
14.33,2020,2022,Khairuddin Aman Razali,PN-PAS,N/A,N/A
14.66,2022,2022,Khairuddin Aman Razali,INDEPENDENT,N/A,N/A
15,2022,,Alias Razak,PN-PAS,56697-64.70%,29765-33.97%
