P046 Batu Kawan,,,,,,,,
,,,,,,,,
P046 Batu Kawan,,,,,,,,
,,,,Votes,,,,
State constituency,Polling Districts,Code,Location,PH,PN,BN,WARISAN,PRM
Perai (N16),Taman Indrawasih,046/16/01,SMK Taman Inderawasih,3620,414,421,17,18
,Taman Chai Leng,046/16/02,SK Taman Inderawasih,2543,33,93,14,6
,Perai,046/16/03,SJK (T) Perai,1468,222,173,12,5
,Taman Perai,046/16/04,SK Khir Johari,614,176,84,3,0
,Taman Supreme,046/16/05,SMK Prai,2039,297,351,14,7
,Taman Kimsar,046/16/06,SJK (C) Chung Hwa 3,2004,26,102,12,5
Bukit Tengah (N17),Kampong Jawa,046/17/01,SJK (T) Ladang Prye,349,334,187,2,1
,Jalan Pengkalan,046/17/02,SK Kebun Sireh,1045,469,292,21,2
,Kebun Sireh,046/17/03,SK Kebun Sireh,1023,1170,472,12,6
,Bukit Tengah,046/17/04,SJK (C) Peng Bin,2939,222,144,26,8
,Kuala Juru,046/17/05,"- SK Juru
   - SJK (T) Juru",1419,2199,1413,22,5
,Juru,046/17/06,SJK (C) True Light,3599,165,243,81,6
,Taman Perwira,046/17/07,SMK Taman Perwira,846,165,115,4,0
,Taman Sejati,046/17/08,SJK (C) Peng Bin,1084,250,227,5,4
,Taman Sentul Jaya,046/17/09,SMK Permai Indah,3164,458,206,63,9
Bukit Tambun (N18),Pulau Aman,046/18/01,Dewan Serbaguna Pulau Aman,23,60,143,0,0
,Batu Kawan,046/18/02,SMK Batu Kawan,1374,1045,419,4,15
,Bukit Tambun,046/18/03,SK Bkt Tambun,2067,168,247,13,7
,Taman Merak,046/18/04,"- SK Taman Merak
   - SJK (C) Keng Koon",6297,705,486,42,8
,Kampong Baharu,046/18/05,SMK Simpang Empat,4258,768,496,28,12
,Ladang Valdor,046/18/06,SJK (T) Ladang Valdor,803,48,53,3,7
,Perkampungan Valdor,046/18/07,SMK Valdor,2309,58,125,21,5
,Badak Mati,046/18/08,SK Bakap Indah,3790,561,315,20,5
,Rumah Murah Valdor,046/18/09,SJK (C) Kampung Valdor,1619,27,126,7,7
