P051 Bukit Gelugor,,,,,,
,,,,Votes,,
State constituency,Polling districts,Code,Location,PH,PN,BN
Seri Delima (N32),Kampong Hijau,051/32/01,SK Batu Lanchang,3220,92,135
,Island Park,051/32/02,SMK Chung Hwa Confucian,3138,30,119
,Lintang Delima,051/32/03,SMK Hamid Khan,3825,120,202
,Lorong Delima,051/32/04,SMK Hamid Khan,1609,34,62
,Bukit Gelugor,051/32/05,SK Bukit Gelugor,1967,611,444
,Taman Tun Sardon,051/32/06,SMK Datuk Hj. Mohamed Nor Ahmad,1753,765,706
,Sungai Gelugor,051/32/07,SK Sungai Gelugor,974,948,700
Air Itam (N33),Ayer Itam,051/33/01,SJK (C) Kong Min Cawangan Satu,1703,74,101
,Happy Valley,051/33/02,SJK (C) Chiao Nan,1476,130,184
,Jalan Kampong Pisang,051/33/03,SK Sri Aman,1095,100,121
,Kampong Melayu,051/33/04,SK Ayer Itam,1101,910,574
,Jalan Chor Sin Kheng,051/33/05,SM Chung Ling (Persendirian),1449,96,111
,Thean Teik,051/33/06,SJK (C) Sin Kang,3080,388,340
,Zoo Road,051/33/07,SMJK Chung Ling,950,43,55
,Jalan Shaik Madar,051/33/08,SMJK Chung Ling,809,274,200
,Cheeseman Road,051/33/09,SMK Georgetown,629,261,138
Paya Terubong (N34),Paya Terubong Mukim 14,051/34/01,SJK (C) Kong Min Cawangan Kedua,1594,24,63
,Sungai Dondang,051/34/02,"- SMK Air Itam
   - SK Seri Indah",8552,684,509
,Paya Terubong Mukim 13,051/34/03,SJK (C) Kong Min Cawangan Kedua,5341,196,262
,Taman Paya Terubong,051/54/04,"Tanah Lapang Lot 5208 (5°23′03″N100°16′34″E﻿ / ﻿5.384250°N 100.276222°E﻿ / 5.384250; 
100.276222)",2400,212,161
,Relau,051/34/05,SK Seri Relau,7638,714,443
,Desa Baiduri,051/34/06,Dewan Komuniti Blok 1B Desa Baiduri,3267,332,217
,Desa Intan,051/34/07,Dewan Komuniti Blok 7A Desa Intan,1681,115,133
,Semarak Api 1,051/34/08,Dewan Komuniti Blok 4E Semarak Api,2625,104,137
,Jln Semarak Api,051/34/09,Dewan Komuniti Blok 4B Semarak Api,2685,137,120
,Bukit Awana,051/34/10,Ruang Legar Rumah Pangsa Taman Paya Terubong,2343,77,88
,Terubong Jaya,051/34/11,Tapak Pasar Malam Tkt Paya Terubong Wayton,3377,290,225
