P061 Padang Rengas,,,,,,
,,,,Votes,,
State constituency,Polling Districts,Code,Location,PN,BN,PH
Chenderoh (N19）,Jenalik,061/19/01,SK Jenalik,462,336,115
,Empangan Chenderoh,061/19/02,Dewan Kelab Kilat Chenderoh,63,52,45
,Sauk,061/19/03,SK Sauk,512,491,293
,Sauk Utara,061/19/04,SJK (C) Sauk,16,44,368
,Kampong Seterus,061/19/05,SJK (T) Ladang Kati,142,258,101
,Bendang Selinsing,061/19/06,SRA Rakyat Hidayah,146,133,31
,Chegar Galah,061/19/07,SK Chegar Galah,308,345,92
,Kampong Cheh,061/19/08,SK Cheh,356,329,69
,Kampong Chuar,061/19/09,SMK Temenggong,361,276,104
,Kati,061/19/10,SK Kati,243,179,87
,Berala,061/19/11,Al-Madrashah Al-Yasiniah Al-Islamiah Kampong Berala,423,330,85
,Lubok Chapin,061/19/12,SK Temong,194,167,56
,Changkat Jambu,061/19/13,SA Rakyat Nurul Liman,262,250,139
,Liman Kati,061/19/14,SJK (C) Liman,94,159,659
,Beluru,061/19/15,SK Beluru,612,756,207
,Kampong Jamuan,061/19/16,SMK Simpang Beluru,427,459,123
,Kota Lama Kiri,061/19/17,SK Padang Ampang,739,415,267
Lubok Merbau (N20),Kampong Laneh,061/20/01,SK Laneh,543,355,60
,Kroh Hilir,061/20/02,SK Paya Salak,788,444,62
,Padang Rengas,061/20/03,SK Perempuan,213,115,57
,Padang Rengas Utara,061/20/04,SJK (C) Khiu Min,243,166,156
,Kampong Jaya,061/20/05,SK Tun Dr Ismail,340,217,535
,Kampong Buaya,061/20/06,Kolej Vokesional Kuala Kangsar,814,380,461
,Kampong Paya,061/20/07,SRA Rakyat Al-Musonifiah,307,167,169
,Kampong Lalang,061/20/08,SMA Ad-Diniah Al-Islamiah,588,386,86
,Padang Assam,061/20/09,SK Padang Assam,862,528,274
,Kampong Rambong,061/20/10,SK Syiekh Mohd. Idris Al-Marbawi,533,325,102
,Lubok Merbau,061/20/11,SK Syeikh Mohd. Idris Al-Marbawi,645,443,164
,Kampong Tanah Merah,061/20/12,SK Tanah Merah,339,325,49
,Kampong Station,061/20/13,SRA Rakyat An-Nur,551,442,1502
,Kampong Basong,061/20/14,SK Clifford,456,321,428
