P063 Tambun,,,,,,,
,,,,Votes,,,
State constituency,Polling District,Code,Location,PH,PN,BN,PEJUANG
Manjoi（N23）,Pekan Chemor,063/23/01,SMK Amiunddin Baki,646,387,292,15
,Chemor Indah,063/23/02,SK Haji Mahmud,392,36,13,2
,Kuala Kuang,063/23/03,"- SJK (C) Kuala Kuang
   - SJK (C) Pei Cheng",4660,1095,679,28
,Kelabang,063/23/04,"- SJK (T) Klebang
   - SJK (C) Poi Lam",5356,4756,2276,64
,Kampong Chepor Dalam,063/23/05,"- SK Seri Kelebang
   - SK Tasik Damai",2470,2177,1571,53
,Kampong Ulu Chepor,063/23/06,SK Chepor,755,1735,773,38
,Meru Raya,063/23/07,SK Meru Raya,974,1134,585,34
,Meru,063/23/08,"- SK Jelapang
   - SRA Rakyat Al-Muttaqin",2074,1815,1210,104
,Taman Jati,063/23/09,"- SK Jati
   - SMK Jati",2389,2054,1279,77
,Kampong Sungai Kati,063/23/10,"- SMK Raja Permaisuri Bainun
   - SA Bantuan Kerajaan Maahad Al-Imam As-Syafiee",1314,2014,1256,52
,"Kampong Datok Ahmad Said
Tambahan 2 Selatan",063/23/11,SK Dato' Ahmad Said Tambahan,133,211,444,7
,"Kampong Datok Ahmad Said
Tambahan 2 Tengah",063/23/12,SK Dato' Ahmad Said Tambahan,829,1391,806,27
,Tun Terang,063/23/13,SA Rakyat Taufikiah Islamiah,460,1090,666,40
,Kampong Sungai Tapah,063/23/14,SK Manjoi (Dua),735,1715,1096,39
,Kampong Seberang Manjoi,063/23/15,SK Manjoi (Satu),456,1100,815,35
,Kampong Tengku Hussein,063/23/16,SA Rakyat Ittihadiah,449,712,1010,25
,Taman Keledang Jaya,063/23/17,SRA Rakyat Osmaniah,364,743,412,19
,Germuda,063/23/18,SRA Rakyat Osmaniah,750,332,217,14
Hulu Kinta（N24）,Kanthan,063/24/01,SJK (C) Chong Hwa,2782,252,143,13
,Kuang,063/24/02,SK Syed Idrus,145,629,508,2
,Kampong Ulu Chemor,063/24/03,SK Tanah Hitam,113,338,403,6
,Kampong Chik Zainal,063/24/04,SK Tanah Hitam,442,770,967,21
,Tanah Hitam,063/24/05,SJK (C) Tanah Hitam,1937,659,490,19
,Changkat Kinding,063/24/06,SJK (T) Ladang Changkat Kinding,428,92,81,8
,Hospital Bahagia,063/24/07,SK Methodist,423,295,343,14
,Tanjong Rambutan,063/24/08,SK Seri Tanjung,28,110,618,4
,Tanjong Rambutan Utara,063/24/09,SJK (T) Tanjong Rambutan,928,165,148,3
,Tanjong Rambutan Barat,063/24/10,"- SK Tanjong Rambutan
   - SA Rakyat Al-Hamidiah",2139,1691,961,32
,Kawasan Polis Hutan,063/24/11,SK Pasukan Polis Hutan,528,1573,1097,26
,Kampung Tersusun Batu 8,063/24/12,SRA Rakyat Asy Shukuriah,697,896,529,24
,Bandar Baru Putra,063/24/13,"- SK Bandar Baru Putera
   - SMK Bandar Baru Putera",2396,1953,1003,22
,Pakatan Jaya,063/24/14,SK Pakatan Jaya,1891,412,217,13
,Taman Perpaduan,063/24/15,SK Perpaduan,1337,2196,1106,32
,Bandar Baru Sunway,063/24/16,SA Rakyat Nurul Hidayah,821,559,343,22
,Kampong Tersusun Batu 5,063/24/17,"- SMK Tambun
   - SRA Rakyat Nurul Hidayah",3414,2596,1320,54
,Tambun,063/24/18,"- SK Tambun
   - SA Rakyat Al-Ihtidaiyah",2079,1061,711,47
,Jalan Tambun,063/24/19,SJK (C) Hing Hwa,663,407,234,18
