Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
7,1986,1990,Yahaya Mohd Shafie,BN-UMNO,24342-71.53%,14655-43.06%
8,1990,1995,Nawawi Mat Awin,BN-UMNO,29176-63.08%,12102-26.16%
9,1995,1999,Ahmad Husni Hanadzlah,BN-UMNO,33224-83.46%,26639-66.92%
10,1999,2004,Ahmad Husni Hanadzlah,BN-UMNO,24595-58.41%,7084-16.82%
11,2004,2008,Ahmad Husni Hanadzlah,BN-UMNO,31824-68.75%,17360-37.50%
12,2008,2013,Ahmad Husni Hanadzlah,BN-UMNO,27942-55.33%,5386-10.66%
13,2013,2018,Ahmad Husni Hanadzlah,BN-UMNO,42093-56.23%,9325-12.46%
14,2018,2020,Ahmad Faizal Azumu,PH-BERSATU,38661-44.46%,5320-6.12%
14.5,2020,2022,Ahmad Faizal Azumu,PN-BERSATU,N/A,N/A
15,2022,,Anwar Ibrahim,PH-PKR,49625-39.77%,3736-2.99%
