P071 Gopeng,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,PH,PN,BN,WARISAN
Sungai Rapat (N44),Ara Payong,071/44/01,"- SK St. Bernadette's Convent
   - SRA Rakyat Nurul Iman
   - Arena Square Batu Gajah",2596,2372,1491,41
,Kampong Pisang,071/44/02,SK Sultan Yussuf,463,685,493,12
,Sri Jaya,071/44/03,SK Seri Jaya,168,612,337,4
,Sri Rahmat,071/44/04,SK Kg. Seri Rahmat,439,515,340,10
,Desa Pelancongan,071/44/05,SM Poi Lam (SUWA) Ipoh,1249,1481,750,15
,Desa Pakatan,071/44/06,"- SK Pengkalan
   - SMK Pengkalan",4334,1868,842,31
,Rapat Jaya,071/44/07,SK Rapat Jaya,2792,2421,1201,17
,Sungai Rapat,071/44/08,"- SK Sungai Rapat
   - STAM Maahad Imtiyaz",1415,1587,943,11
,Sungai Rokam,071/44/09,SRA Rakyat Sungai Rokam,856,1015,737,2
Simpang Pulai (N45),Pekan Razaki,071/45/01,SK Seri Ampang,2105,851,440,15
,Ampang Baharu,071/45/02,SJK (C) Min Sin,1985,108,27,17
,Taman Ampang,071/45/03,SMK Wira Jaya,1831,460,195,10
,Kampong Seri Ampang,071/45/04,SK Wira Jaya,1516,537,271,9
,Taman Ipoh Jaya,071/45/05,"- SMK Seri Ampang
   - SRA Rakyat Al-Solatiah",3200,913,461,13
,Rapat Setia Baru,071/45/06,"- SMK Gunung Rapat
   - SRA Rakyat Al-Hidayah
   - SM Al-Hidayah",4177,1630,699,30
,Rapat Setia,071/45/07,SK Rapat Setia,1397,818,358,10
,Gunong Rapat Utara,071/45/08,SJK (C) Gunung Rapat,2231,59,183,12
,Gunong Rapat Selatan,071/45/09,SJK (C) Gunung Rapat,1971,137,189,14
,Taman Taufik,071/45/10,"- Sekolah Tinggi Shen Jai
   - SRA Rakyat Al-Falah",3824,1009,487,27
,Kampong Sengat,071/45/11,SJK (C) Bandar Seri Botani,2343,1039,454,25
,Taman Bersatu,071/45/12,"- SK Taman Bersatu
   - Dewan Komuniti Taman Bersatu",2036,1101,570,19
,Simpang Pulai,071/45/13,SJK (C) Phui Ying,1510,140,49,19
Teja (N46),Pos Raya,071/46/01,SK Pos Raya,92,45,475,4
,Kampong Kepayang,071/46/02,SMK Simpang Pulai,879,1824,1289,16
,Kampong Tekkah Baharu,071/46/03,SK Pengkalan Baharu,412,1734,821,15
,Kampong Bharu Kopisan,071/46/04,"- SJK (C) New Kopisan
   - SK Gopeng",2258,280,486,24
,Lawan Kuda Barat,071/46/05,"- SMK Seri Teja
   - SMK Idris Shah",2831,393,599,34
,Lawan Kuda Timor,071/46/06,SJK (C) Lawan Kuda Baru,676,18,137,4
,Lawan Kuda Selatan,071/46/07,SJK (C) Lawan Kuda Baru,796,24,97,8
,Kampong Pulai,071/46/08,Dewan Serbaguna Teja Kampong Pulai,79,303,344,1
,Kampong Rawa,071/46/09,SK Gopeng,1457,391,383,34
,Gopeng,071/46/10,SJK (C) Man Ming,991,127,162,39
,Kampong Sungai Itek,071/46/11,"- SK Sungai Itek
   - SK Ulu Geruntum",368,557,1212,70
