Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
7,1986,1987,Tan Koon Swan,BN-MCA,14009-60.37%,6135-26.44%
7.5,1987,1990,Ting Chew Peh,BN-MCA,12619-60.62%,4523-21.73%
8,1990,1995,Ting Chew Peh,BN-MCA,14991-62.64%,6051-25.28%
9,1995,1999,Ting Chew Peh,BN-MCA,22774-74.04%,14788-48.08%
10,1999,2004,Ting Chew Peh,BN-MCA,21254-57.56%,6406-17.36%
11,2004,2008,Ting Chew Peh,BN-MCA,30312-66.12%,14782-32.24%
12,2008,2013,Lee Boon Chye,PKR,29696-57.08%,7368-14.16%
13,2013,2018,Lee Boon Chye,PKR,47558-59.59%,15309-19.18%
14,2018,2022,Lee Boon Chye,PH-PKR,48923-61.75%,29778-35.58%
15,2022,,Tan Kar Hing,PH-PKR,55880-53.92%,27148-26.20%
