P073 Pasir Salak,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,PN,BN,PH,PEJUANG
Sungai Manik (N49）,Labu Kubong,073/49/01,SK Permatang Pelandok,336,259,59,2
,Kunci Ayer Empat,073/49/02,SK Sungai Tungku,702,479,85,18
,Chenderong Balai,073/49/03,SK Dato' Yahya Subban,1398,971,250,24
,Simpang Empat Balai Polis,073/49/04,SMK Sultan Abdullah,972,892,225,22
,Kampong SC,073/49/05,"SA Rakyat Al-Islahiyah Simpang Tiga, Kampong SC Lama Belt",108,75,25,1
,Headworks,073/49/06,Pusat Latihan Pertanian Degong,573,273,206,12
,Parit Satu,073/49/07,SK Sg Lampam,622,350,103,12
,Parit 13A Sungai Lampam,073/49/08,SMK Sungai Manik,496,374,70,9
,Parit 3A Sungai Tunku,073/49/09,SK Sungai Tungku,473,240,52,18
,Kampong Parit 3D,073/49/10,"- SRA Rakyat Madrasah Saadatul Abadiah
   - SRA Rakyat Islamiah, Parit 3C",753,347,134,18
,Permatang,073/49/11,SK Permatang,430,335,80,12
,Sungai Manik,073/49/12,SK Sungai Tukang Sidin,259,249,80,11
,Chikus,073/49/13,SK Chikus,491,340,102,16
,Degong,073/49/14,SK Degong,276,255,123,5
,Langkap,073/49/15,SK Seri Langkap,1053,859,1247,36
,Langkap Tengah,073/49/16,SJK (C) Wah Keow,190,263,1945,19
,Langkap Utara,073/49/17,SMK Dato' Sago,495,378,887,16
,Pelawan Timor,073/49/18,SJK (C) Pelawan,21,323,371,4
,Chui Chak,073/49/19,SJK (C) Chui Chak,90,219,2023,12
,Kampong SC Air Hitam,073/49/20,"SRA Rakyat Al-Hidayah, Kampung Ayer Hitam",173,91,46,4
Kampong Gajah (N50),Telok Sareh,073/50/01,SK Toh Paduka Raja,314,287,65,7
,Sungai Galah,073/50/02,SK Sungai Galah,809,774,165,14
,Chenderong Kelubi,073/50/03,SK Chenderong Kelubi,45,641,31,5
,Changkat Pinggan,073/50/04,SK Sri Changkat,251,242,28,2
,Kampong Balun Bidai,073/50/05,SK Balun Bidai,239,405,55,5
,Kampong Setia,073/50/06,SK Dato' Sagor,757,455,166,6
,Pulau Tiga,073/50/07,SK Raja Chulan,277,278,43,6
,Kampong Pasir Garam,073/50/08,SK Pasir Kubu,315,235,48,9
,Kampong Paloh Pachat,073/50/09,SK Pulau Tiga Kiri,269,316,51,3
,Tanjong Bidara,073/50/10,SK Tanjong Bidara,158,210,41,4
,Kampong Geronggong,073/50/11,SK Selat Pulau,89,81,28,3
,Selat Pulau,073/50/12,SK Selat Pulau,353,227,145,9
,Kampong Gajah,073/50/13,SMK Dato' Seri Maharaja Lela,1007,718,335,17
,Pasir Salak,073/50/14,SK Tok Pelita,339,319,138,2
,Pasir Jeneris,073/50/15,SK Bandar Tua,121,111,38,1
,Pulau Juar,073/50/16,SK Pulau Juar,169,138,84,3
,Kampong Pulau Besar,073/50/17,SK Pasir Panjang Ulu,158,231,120,5
,Kampong Ayer Mati,073/50/18,SK Bandar,17,23,10,0
,Bandar,073/50/19,SK Bandar,30,24,5,0
,Sungai Buaya,073/50/20,SRA Rakyat Al-Tarbitul Islamiah Parit 4 Sungai Buaya,657,273,117,6
,Bukit Cawi Seberang Perak,073/50/21,SMK Sultan Abdul Jalil Shah,1402,890,252,20
,Bandar Pusat Seberang Perak,073/50/22,SK Changkat Lada 2,3708,1935,657,81
,Kampong Sejagop,073/50/23,"SA Rakyat Al Riduaniah Al Diniah, Kampong Sejagop",227,242,55,4
,Kota Setia,073/50/24,SK Kota Setia,315,306,89,3
,Kampong Sungai Ranggam,073/50/25,SK Sungai Ranggam,417,300,78,9
,Sungai Jejawi,073/50/26,SK Sungai Jejawi,1054,708,136,14
,Ladang Seberang,073/50/27,SJK (T) Ladang Sabarang,6,69,76,4
,Kampong Sungai Durian,073/50/28,SK Sungai Durian,139,76,51,0
,Ladang Rubana Bahagian 2,073/50/29,SJK (T) Ladang Rubana 1,348,248,158,6
,Kampong Sungai Rubana,073/50/30,SK Sungai Rusa,120,192,45,3
,Sungai Besar,073/50/31,SK Sungai Besar,207,228,47,1
,Tanjong Kubu,073/50/32,SRA Rakyat Marta'il Ulum Tanjong Sari,251,115,85,3
,Kampong Telok Baharu,073/50/33,SK Seri Baru,230,185,32,6
