P077 Tanjong Malim,,,,,,,,,
,,,,Votes,,,Jamaluddin,,Izzat
State constituency,Polling districts,Code,Location,PH,PN,BN,BEBAS,PEJUANG,BEBAS
Sungkai (N57),Pos Gedong,077/57/01,SK Pos Gedong,79,15,196,5,4,2
,Jalan Bruseh,077/57/02,"- SK Bidor
   - SK Kampung Senta",807,218,739,20,11,15
,Bidor Tengah,077/57/03,SJK (C) Choong Hua (1),1890,43,221,2,2,1
,Bidor Baharu,077/57/04,SK Seri Bidor,1093,8,150,2,1,3
,Pekan Bidor,077/57/05,SMK Syeikh Abdul Ghani,505,18,82,2,4,1
,Bidor Barat,077/57/06,SMK Choong Hua,862,3,88,1,2,2
,Bidor Station Utara,077/57/07,SJK (C) Pin Min,740,27,171,7,3,0
,Kampong Bahru Jalan Sungkai,077/57/08,SMK Syeikh Abdul Gahni,1469,568,728,28,14,7
,Pekan Pasir,077/57/09,SJK (C) Pekan Pasir,367,29,118,9,0,1
,Bikam,077/57/10,SK Bikam,39,163,174,4,1,1
,Kampong Baharu Bikam,077/57/11,SJK (C) Kuala Bikam,640,6,141,2,1,1
,Sungkai,077/57/12,SMK Sungkai,305,358,274,6,13,1
,Pekan Sungkai,077/57/13,SMK Sungkai,1073,406,470,14,11,9
,Buloh Telor,077/57/14,SMK Sungkai,193,107,95,7,3,4
Slim (N58),Ladang Sungkai,077/58/01,SJK (T) Ladang Sungkai,12,197,82,2,1,2
,Pekan Lama,077/58/02,SK Changkat Sulaiman,125,90,132,3,6,5
,Changkat Sulaiman,077/58/03,SK Changkat Sulaiman,78,422,448,9,4,3
,Trolak Utara,077/58/04,SK Trolak Utara,283,1448,916,32,17,15
,Trolak Selatan,077/58/05,SK Trolak Selatan,278,1441,1104,14,25,9
,Trolak,077/58/06,SJK (T) Trolak,303,88,442,3,3,4
,Pekan Slim,077/58/07,SK Slim River,1361,693,595,44,30,13
,Sungai Slim Utara,077/58/08,SK Aminuddin Bakri,1345,183,344,15,14,5
,Kampong Kuala Slim,077/58/09,SK Kuala Slim,697,672,609,22,26,7
,Ladang Kepala Bali,077/58/10,SJK (T) Ldg Kelapa Bali,118,23,67,0,4,3
,FELDA Gunong Besout I,077/58/11,"- SK Besout 3
   - SMK (FELDA) Besout",181,1326,742,5,27,7
,FELDA Gunong Besout II,077/58/12,SK Seri Besout,220,27,1504,20,44,18
,FELDA Gunong Besout V,077/58/13,"- SK Besout 5
   - SK Besout 4",90,800,798,9,15,4
Behrang (N59),Kampong Poh,077/59/01,SK Kampong Poh,135,285,242,1,2,4
,Perlok,077/59/02,"- SK Perlok
   - SK Jernang",516,641,1041,45,14,21
,Pos Tenau,077/59/03,SK Pos Tenau,287,7,73,2,3,3
,Klah,077/59/04,SK FELDA Sungai Kelah,301,473,552,12,14,8
,Trolak Timur,077/59/05,SK Trolak Timur,165,1146,852,27,15,8
,Pos Bersih,077/59/06,SK Pos Bersih,80,10,451,4,0,1
,Ulu Slim,077/59/07,SK Ulu Slim,82,365,354,23,11,3
,Slim Village,077/59/08,SJK (C) Ho Pin,414,294,537,47,10,6
,Kampong Sawa,077/59/09,SK Slim Village,288,278,635,34,10,8
,Ladang Clunny,077/59/10,SJK (T) Ladang Clunny,74,28,91,3,11,4
,Kampong Balun,077/59/11,SK Balun,141,525,381,70,18,12
,Behrang Station,077/59/12,SK Sungai Behrang,313,1569,1132,180,26,6
,Behrang Timor,077/59/13,SK Dato Kamaruddin,608,424,396,42,13,9
,Behrang Ulu,078/59/14,SK Behrang,110,223,329,29,7,7
,Kampong Sungai Sekiah,078/59/15,SJK (C) Behrang Ulu,419,451,275,14,12,9
,Kampong Keteyong,077/59/16,SK Tanjong Malim,885,976,606,44,21,14
,Kampong Simpang Ampat,077/59/17,SMK Methodist,1470,926,384,51,53,31
,Kampong Lambak,077/59/18,SK Tanjong Malim,728,439,290,35,24,8
,Jalan Keteyong,077/59/19,SJK (T) Tan Sri Dato' Manickavasagam,1027,249,175,30,18,2
,Kampong Melaka,077/59/20,SJK (T) Tan Sri Dato' Manickavasagam,458,9,52,2,1,1
,Jalan Beirop,077/59/21,SMK Methodist,512,123,111,14,12,3
,Kampong Loke Yew,077/59/22,SRA Rakyat Al-Jihadiah,488,136,154,10,5,6
