Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
1,1959,1963,Lee Seck Fun,Alliance-MCA,8038-62.72%,3261-25.44%
2,1963,1969,Lee Seck Fun,Alliance-MCA,9983-64.56%,7655-47.31%
3,1971,1974,Lee Seck Fun,Alliance-MCA,7822-46.27%,35-0.21%
4,1974,1978,Mak Hon Kam,BN-MCA,12460-64.52%,6198-30.52%
5,1978,1982,Mak Hon Kam,BN-MCA,15805-68.19%,8431-36.38%
6,1982,1986,Mak Hon Kam,BN-MCA,18745-67.51%,11749-42.31%
7,1986,1990,Loke Yuen Yow,BN-MCA,18693-64.12,10698-36.69%
8,1990,1995,Loke Yuen Yow,BN-MCA,23953-73.34%,15246-46.68%
9,1995,1999,Loke Yuen Yow,BN-MCA,25752-83.50%,20664-67.00%
10,1999,2004,Loke Yuen Yow,BN-MCA,22150-66.96%,11222-33.92%
11,2004,2008,Loke Yuen Yow,BN-MCA,24283-71.69%,14693-43.88%
12,2008,2013,Ong Ka Chuan,BN-MCA,21016-57.41%,5422-14.82%
13,2013,2018,Ong Ka Chuan,BN-MCA,28225-45.85%,4328-8.30%
14,2018,2022,Chang Lih Kang,PH-PKR,24672-45.44%,5358-9.87%
15,2022,,Chang Lih Kang,PH-PKR,25140-36.08%,3541-5.08%
