P082 Indera Mahkota,,,,,,,
,,,,Votes,,,
State constituency,Polling districts,Code,Location,PN,PH,BN,PEJUANG
Beserah (N12),Cherating,1982/12/01,SK Cherating,2070,187,755,48
,Sungai Ular,1982/12/02,SK Sungai Ular,1965,119,570,20
,Balok Makmur,1982/12/03,SK Balok Baru,2815,381,629,58
,Balok Baru,1982/12/04,SK Balok Makmur,1601,520,245,51
,Balok,1982/12/05,"- SK Balok
   - SMK Chengal Lempong",3916,1128,534,94
,Sungai Karang,1982/12/06,SK Sungai Karang,2797,821,422,55
,Alor Batu,1982/12/07,SK Jabor,338,160,65,5
,Batu Hitam,1982/12/08,SMK Beserah,1768,505,479,55
,Kampung Beserah,1982/12/09,SK Beserah,2783,944,629,101
,Seri Pelindong,1982/12/10,SMK Pelindung,2265,947,718,82
,Alor Akar,1982/12/11,Kolej Vokesional Kuantan,641,1818,380,44
,Air Putih Baru,1982/12/12,SMK Air Putih,294,295,2950,23
,Air Putih,1982/12/13,SJK (C) Pei Chai,291,3936,291,5
Semambu (N13),Kampung Padang,082/13/01,SK Kampong Padang,2721,1106,913,92
,Rtp Bukit Goh,082/13/02,SK Rtp Bukit Goh,402,211,67,8
,Bukit Istana,082/13/03,SK Sungai Talam,2125,1758,681,319
,Semambu,082/13/04,SK Semambu,1375,2955,912,64
,Bukit Sekilau,082/13/05,"- SK Bukit Sekilau
   - Kolej Universiti Yayasan Pahang
   - Tabika KEMAS kAMPUNG Bukit Sekilau",1255,4263,938,96
,Indera Mahkota 1,082/13/06,SMK Cenderawasih,1406,1482,778,95
,Bukit Ubi,082/13/07,Dewan Kelab Sukan Komuniti DUN Semambu,181,526,142,16
,Bukit Setongkol,082/13/08,SK Bukit Setongkol,1290,3486,889,70
,Taman LKNP,082/13/09,SJK (C) Chung Ching 2,745,749,274,53
,Chenderawasih,082/13/10,"- SK Cenderawasih
   - SA Rakyat (KAFA) Baitul Huda Cenderawasih",2188,1767,907,128
,Indera Mahkota 2,082/13/11,"- SMK Tengku Panglima Tengku Muhamad
   - SK Indera Mahkota",2559,1936,1334,215
