P090 Bera,,,,,,
,,,,Votes,,
State constituency,Polling district,Code,Location,BN,PH,PN
Guai（N37）,Charok Putting,090/37/01,SK Charuk Putting,494,55,295
,Batu Bor,090/37/02,SK Batu Bor,184,14,82
,Bohor Baharu,090/37/03,SK Bohor Baharu,445,21,221
,FELDA Purun,090/37/04,SK LKTP Purun,1585,129,1140
,FELDA Mayam,090/37/05,SK LKTP Mayam,1311,97,836
,FELDA Kumai,090/37/06,SK LKTP Kumai,1469,91,906
,FELDA Bukit Kepayang,090/37/07,SK LKTP Bukit Kepayang,1133,70,614
,Bukit Rok,090/37/08,SK Bukit Rok,437,247,29
,Kuala Bera,090/38/09,SK Batu Papan,810,41,256
,Kuala Triang,090/37/10,SK Kuala Triang,705,63,451
,Senyum Jempol,090/37/11,SK Guai,277,33,97
,Durian Tawar,090/37/12,SK Durian Tawar,574,71,333
,Mengkarak,090/37/13,SJK (C) Mengkarak,482,809,24
,Padang Luas,090/37/14,SMK Seri Bera,1043,131,618
Triang（N38）,Ladang Menteri,090/38/01,SJK (C) Ladang Menteri,100,187,10
,Kerayong,090/38/02,SMK Bandar Kerayong,1307,1936,377
,Taman Sentosa,090/38/03,SJK (C) Triang 2,1062,3663,202
,Bandar Triang,090/38/04,SMK Triang,256,1598,19
,Kampung Baru Triang,090/38/05,SJK (C) Triang 1,311,1673,25
,Sri Buntar,090/38/06,SK Sri Buntar,394,179,90
,Mengkuang,090/38/07,SJK (C) Mengkuang,540,972,236
,FELDA Bukit Puchong,090/38/08,SK LKTP Bukit Puchong,1128,88,468
,FELDA Bukit Mendi,090/39/09,SK LKTP Bukit Mendi,1222,95,467
Kemayan（N39）,Bukit Gemuroh,090/39/01,SK Bukit Gemuruh,544,60,54
,FELDA Triang Dua & Tiga,090/39/02,SMK Triang 3,746,59,552
,FELDA Tementi,090/39/03,SK LKTP Tementi,1281,123,806
,FELDA Rentam,090/39/04,SK LKTP Rentam,1212,74,686
,FELDA Sebertak,090/39/05,SK LKTP Sebertak,1317,67,492
,FELDA Bera Selatan,090/39/06,Dewan Orang Ramai Bera Selatan 7,207,4,41
,Kampung Pasal,090/39/07,Dewan Kampung Pasal,180,4,44
,Pos Iskandar,090/39/08,SK Iskandar,1009,172,69
,FELDA Tembagau,090/39/09,SK LKTP Tembagau 1,2324,233,727
,FELDA Triang Satu,090/39/10,SK LKTP Triang 2,734,60,332
,Kampung Dato Seri Hamzah,090/39/11,SK Kemayan,265,699,76
,Kemayan,090/39/12,SMK Kemayan,631,1676,149
,Ladang Kemayan,090/39/13,SJK (C) Kemayan,67,33,9
