P100 Pandan,,,,,,,,
,,,,Votes,,,,
State constituency,Polling districts,Code,Location,PH,PN,BN,WARISAN,PEJUANG
Pandan Indah (N21),Taman Nirwana,100/21/01,"SK Taman Nirwana, Ampang (Pintu B)",1240,697,261,30,29
,Angsana Hilir,100/21/02,SRA Jalan F Kampung Pandan Dalam,862,912,470,35,24
,Kampung Pandan Dalam Kiri,100/21/03,SRA Kampung Pandan Dalam Lorang Bahagia Lima,1163,1548,723,67,19
,Lorong Raya Kampung Pandan,100/21/04,Dewan MPAJ Jalan H Kampung Pandan,254,408,232,14,3
,Pandan Jaya Utara,100/21/05,SK Pandan Jaya,2317,706,370,68,42
,Taman Chempaka,100/21/06,Dewan Seberguna Taman Cempaka,1678,973,378,56,42
,"Pandan Indah Jalan 1, 4 dan 6",100/21/07,"- SRA Pandan Indah
   - Maahad Integrasi Selangor Pandan Indah",6904,1656,701,255,63
,Lorong Molek Kampung Pandan,100/21/08,SRA Jalan F Kampung Pandan Dalam,488,705,288,39,7
,Lorong Bersih Kampung Pandan,100/21/09,"Padang Awan Jalan H, Kampung Pandan",789,1000,412,24,19
,Pandan Jaya Selatan,100/21/10,SMK Pandan Jaya,3441,1249,527,132,34
,Taman Bakti,100/21/11,Dewan Seberguna Taman Cempaka,707,547,222,32,19
,Pandan Indah Jalan 2 & 3,100/21/12,SMK Pandan Indah,2233,1312,589,89,40
,Ampang Hilir,100/21/13,Kompleks Muhibah Ampang Jaya,2108,1143,566,47,65
,Cheras Indah,100/21/14,SK Cheras Indah,1873,772,221,48,23
,Taman Maju Jaya,100/21/15,"SA Kelas Al-Quran & Fardhu Ain (KAFA) Integrasi Al-Mustaqimah Taman Cheras 
Indah",1096,323,146,52,15
,Taman Kenchana,100/21/16,SK Taman Muda (Pintu A),937,394,165,43,11
,Kampung Cheras Bahru Timur,100/21/17,SK Kampong Cheras Bahru (Pintu A),703,1173,578,23,12
,Desa Nirwana,100/21/18,Kompleks Muhibah Ampang Jaya,329,223,141,7,16
Teratai (N22),Pandan Perdana Timur,100/22/01,SK Pandan Perdana,3912,608,292,203,9
,Taman Muda Timur,100/22/02,SK Taman Muda (Pintu B),1509,72,69,92,1
,Taman Putra,100/22/03,Dewan Orang Ramai Taman Putra,2593,329,199,171,19
,Taman Seraya,100/22/04,SMK Taman Seraya,4422,851,433,299,23
,Taman Melor,100/22/05,SMK Taman Seraya,1358,503,221,35,22
,Taman Mega Jaya,100/22/06,Dewan Utama Taman Mega Jaya,516,253,96,29,11
,Taman Mawar,100/22/07,Taski Abim Mawar Taman Mawar,1016,340,132,59,16
,Taman Bukit Teratai,100/22/08,SK Taman Bukit Teratai,4189,989,404,191,48
,Pandan Perdana Barat,100/22/09,SK Pandan Perdana,4295,267,141,216,10
,Kampung Cheras Bahru Barat,100/22/10,SK Kampung Cheras Bahru (Pintu B),1065,717,409,36,17
,Taman Muda Barat,100/22/11,SK Taman Muda (Pintu B),4190,506,343,308,25
,Taman Saga,100/22/12,Dewan Orang Ramai Taman Saga,2001,702,280,74,18
,Cheras Hartamas,100/22/13,Dewan MPAJ Cheras Hartamas,1847,236,121,52,6
,Tasik Permai,100/22/14,SK Tasek Permai,3468,1102,480,19,38
,Pandan Indah Jalan 5,100/22/15,SK Pandan Indah,5104,825,443,252,39
,Pandan Mewah,100/22/16,SMK Pandan Mewah,2703,861,279,153,28
