P102 Bangi,,,,,,,,,,,
,,,,Votes,,,,,Jamal,Fauzi,Suthan
State constituency,Polling districts,Code,Location,PH,PN,BN,PEJUANG,PRM,BEBAS,BEBAS,BEBAS
Kajang (N25),Sungai Sekamat,102/25/01,"- SK Seri Sekamat
   - SRA Sungai Sekamat",2715,2989,1094,235,6,24,17,5
,Saujana Impian,102/25/02,SK Saujana Impian,2357,2007,579,129,2,21,9,3
,Taman Mesra,102/25/03,"Dewan Besar, SMA Persekutuan Kajang",541,630,229,38,0,7,6,1
,Sungai Kantan,102/25/04,SK Sungai Kantan,1145,1310,663,89,1,13,9,2
,Taman Kajang Baharu,102/25/05,SMK Tinggi Kajang,3381,1078,475,47,10,6,3,3
,Kajang,102/25/06,SMK Convent,807,23,76,1,5,0,1,0
,Taman Delima,102/25/07,SMK Saujana Impian,766,1108,440,32,2,6,2,0
,Bandar Kajang,102/25/08,SK Kajang,1112,474,235,18,2,5,3,2
,Bandar Sungai Long,102/25/09,"- SMK Bandar Baru Sungai Long
   - SJK (C) Bandar Sungai Long",10481,496,428,40,31,8,8,3
,Bandar Mahkota Cheras,102/25/10,SJK (T) Bandar Mahkota Cheras,7236,1241,498,50,24,12,4,9
,Taman Rakan,102/25/11,SK Taman Rakan,1041,558,185,18,6,2,38,0
,Taman Asa Jaya,102/25/12,KAFA Integrasi An-Nur Taman Asa Jaya,1608,268,204,15,6,6,2,2
,Kajang Perdana,102/25/13,SK Sri Jelok,3140,1322,511,56,8,9,4,17
,Sungai Jeluk,102/25/14,KAFA Integrasi Al-Asmah,1406,474,199,21,5,6,2,0
,Taman Bukit Mewah,102/25/15,SMK Jalan Bukit Kajang,2475,541,315,33,9,4,4,4
,Reko Utara,102/25/16,SK Jalan Bukit (Satu),1187,78,104,6,8,5,2,2
,Taman Jasmin,102/25/17,SK Taman Jasmin,2669,1022,392,54,6,9,3,4
,Reko Selatan,102/25/18,SJK (T) West Country (Timur),1628,235,174,8,9,12,4,4
,Taman Kajang Mewah,102/25/19,SRA Taman Kajang Raya,3616,1452,454,54,7,18,12,3
,Bukit Kajang Baru,102/25/20,Dewan Orang Ramai Taman Bukit Mewah,3838,1223,515,52,40,3,8,8
,Kajang Prima,102/25/21,SMK Taman Jasmin 2,1400,381,143,19,2,2,2,2
Sungai Ramal (N26),Sungai Ramal Luar,102/26/01,"- SK Leftenan Adnan Sungai Ramal Luar
   - SMK Sungai Ramal",2138,2231,991,115,1,38,8,1
,Sungai Ramal Dalam,102/26/02,SR Agama Sungai Ramal Dalam,979,2103,640,56,0,18,10,0
,Seksyen 3 BBB,102/26/03,"- SK Jalan 3
   - SMK Jalan 3",2745,3421,633,209,3,68,22,5
,Seksyen 1 BBB,102/26/04,SMK Bandar Baru Bangi,1093,1977,458,93,0,19,9,3
,Seksyen 6 BBB,102/26/05,"- SK Jalan Enam
   - SMK Bandar Baru Bangi",1690,3245,752,127,1,24,7,3
,Bangi,102/26/06,"- SK Bangi
   - SRA Pekan Bangi",2308,1671,835,53,8,21,12,6
,Taman Kajang Utama,102/26/07,SK Kajang Utama,3399,2067,595,70,9,11,7,6
,Seksyen 4 BBB,102/26/08,SK Jalan Empat,2278,2852,610,217,1,34,20,4
,Seksyen 5 BBB,102/26/09,SMK Jalan Reko,2082,1787,591,64,8,11,10,8
,Seksyen 2 BBB,102/26/10,SK Bandar Baru Bangi,752,1311,252,60,1,15,6,2
,Universiti Kebangsaan Malaysia,102/26/11,Institut Latihan Kehakiman Dan Perundangan (ILKAP),1084,1810,309,63,1,23,23,2
,"Seksyen 7, 8 dan 9 BBB",102/26/12,"SK Seksyen 7, SK Sungai Ramal Dalam",4461,2867,818,0,2,45,22,6
,Bandar Teknologi Kajang,102/26/13,SK Bandar Teknologi Kajang,3038,2100,611,63,2,12,8,3
,Impian Ehsan,102/26/14,KAFA Integrasi Al-Ehsaniyyah,3246,4011,1435,49,7,10,15,2
Balakong (N27),Kampung Baharu Balakong,102/27/01,SJK (C) Balakong,1542,23,147,3,3,3,2,0
,Bandar Damai Perdana,102/27/02,"- SJK (C) Connaught 2
   - SMK Damai Perdana",5499,363,252,24,8,8,3,6
,Perimbun,102/27/03,SMK Perimbun,6554,828,506,59,26,10,7,4
,Batu 11 Cheras,102/27/04,SJK (C) Batu Sebelas Cheras,3706,268,413,9,16,11,4,7
,Cheras Perdana,102/27/05,SMK Cheras Perdana,4600,1074,629,65,10,4,4,5
,Bandar Tun Hussein Onn,102/27/06,SK Bandar Tun Hussein Onn,4134,3190,844,180,4,34,10,8
,Simpang Balak,102/27/07,SMA Persekutuan Kajang,1367,1235,606,33,2,3,7,1
,Desa Baiduri,102/27/08,SK Desa Baiduri,2907,2850,912,59,3,13,4,4
,Cheras Jaya,102/27/09,SMK Cheras Jaya,2955,2733,810,75,4,12,11,4
,Taman Suria Jaya,102/27/10,SMK Bandar Tun Hussein Onn (2),2427,290,169,23,5,3,1,0
,Taman Sri Bahagia,102/27/11,"- SK Bandar Tun Hussein Onn (2)
   - SRA Taman Tun Perak",4042,1054,434,25,12,11,7,4
,Balakong Jaya,102/27/12,"Dewan Komuniti, Taman Desa Serdang",2455,497,297,20,6,13,2,3
,Taming Jaya,102/27/13,SK Taming Jaya,3352,809,477,29,10,6,6,3
,Sungai Chua Satu,102/27/14,SJK (C) Sungai Chua,5241,666,478,41,18,3,8,5
,Sungai Chua Dua,102/27/15,SJK (C) Sungai Chua,2008,111,157,6,7,3,2,2
,Sungai Chua Tiga,102/27/16,"Pusat Rekrasi (Dewan Tertutup) JKKK Sungai Chua, Kajang",446,5,28,0,1,1,1,0
