P104 Subang,,,,,,
,,,,Votes,,
State constituency,Polling Districts,Code,Location,PH,PN,BN
Kinrara (N30),"Kinrara Seksyen 4, 5 & 6",104/30/01,Sekolah KAFA Integrasi An-Najah,4212,787,536
,Kinrara Seksyen 2,104/30/02,SJK (C) Yak Chee,1735,117,119
,Kinrara Seksyen 1,104/30/03,SJK (C) Yak Chee,2768,177,259
,Kinrara Seksyen 7,104/30/04,SK Bukit Kuchai,1713,391,386
,Kinrara Seksyen 3,104/30/05,Kolej Tingkatan Enam Puchong,3828,308,357
,Puchong Jaya Timur,104/30/06,SMK Bandar Puchong Jaya (B),5029,763,336
,Puchong Jaya Utara,104/30/07,SMK Bandar Puchong Jaya (A),3302,249,213
,Puchong Jaya Barat,104/30/08,SK Puchong Jaya,5843,179,277
,Batu 12 Puchong,104/30/09,SJK (T) Castlefield,2256,628,431
,Batu 7 Jalan Puchong,104/30/10,SJK (C) Yak Chee,934,64,98
,Batu 13 Puchong,104/30/11,SK Puchong Jalan Masjid Bt.14 Puchong,2873,533,394
,Bandar Kinrara Seksyen 1,104/30/12,SMK Seksyen 1 Bandar Kinrara,1236,264,261
,Pusat Bandar Puchong,104/30/13,"- SK Pusat Bandar Puchong (2)
   - SJK (C) Kheng Chee",7046,532,513
,Bandar Kinrara Seksyen 2,104/30/14,SK Seksyen 1 Bandar Kinrara,1703,190,118
,Bandar Kinrara Seksyen 3,104/30/15,SK Seksyen 2 Bandar Kinrara,1270,195,117
,Bandar Kinrara Seksyen 4,104/30/16,SMK Seksyen 3 Bandar Kinrara,2249,1188,571
,Bandar Kinrara Seksyen 5,104/30/17,"- SMK Seksyen 4 Bandar Kinrara
   - SMK Puncak Jalil",8564,2100,1128
,Bandar Puteri,104/30/18,SMK Pusat Bandar Puchong (1),5781,395,385
,Puchong Indah 1,104/30/19,SK Puchong Indah,2156,1036,556
,Puchong Perdana 1,104/30/20,KAFA Integrasi Madrasatul-Ikhwan,1470,573,325
,Puchong Perdana 2,104/30/21,SK Puchong Perdana,2739,1593,802
,Puchong Indah 2,104/30/22,SK Puchong Perdana,1030,550,299
,Puchong Intan,104/30/23,SK Puchong Indah,2155,517,293
Subang Jaya (N31),PJS 7 Bandar Sunway,104/31/01,SMK Bandar Sunway,2978,358,209
,SS 12,104/31/02,Sekolah Sri Kuala Lumpur,1999,177,183
,SS 15,104/31/03,Sekolah Islam Darul Ehsan,1899,263,195
,SS 16 & SS 17,104/31/04,SMK SS17,2220,225,231
,SS 19/1,104/31/05,SK Perdana Jaya SS19,1326,233,231
,SS 18,104/31/06,SMK Subang Utama,2873,806,368
,SS 14/1-4,104/31/07,SK Subang Jaya,1755,164,200
,SS 13,104/31/08,SMK Subang Jaya,617,165,153
,USJ 1,104/31/09,SJK (C) Chee Wen,3807,902,482
,USJ 2/1-4,104/31/10,SK USJ2,3202,428,307
,USJ 3,104/31/11,SK Seri Selangor,4124,737,378
,USJ 4,104/31/12,SMK USJ4,2527,319,270
,USJ 5,104/31/13,SMA Bestari,1667,136,138
,USJ 6,104/31/14,SK Seafield,4209,490,440
,USJ 7 & 8,104/31/15,SMK USJ8,2871,493,340
,USJ 9 & USJ 10,104/31/16,SK Seafield 3,2140,293,246
,USJ 11,104/31/17,SMK USJ12,4361,350,286
,USJ 12,104/31/18,SK USJ12,1993,185,184
,USJ 13,104/31/19,SMK USJ13,1646,162,122
,USJ 14 & 15,104/31/20,Kompleks Sekolah Wawasan SK Dato Onn Jaafar,2357,222,175
,SS 19/2 – SS 19/5,104/31/21,SK SS19,1429,245,277
,SS 19/6 – SS 19/19,104/31/22,SJK (C) Lick Hung,1653,339,267
,PJS 9 & 11 Bandar Sunway,104/31/23,SK Bandar Sunway,2341,206,164
,SS 14/5-8,104/31/24,SK Sri Subang Jaya,1544,220,195
,USJ 2/5-7,104/31/25,SMK Seafield,1775,205,194
,USJ 16 until 22,104/31/26,SK USJ20,4672,624,451
