P106 Damansara,,,,,,
,,,,Votes,,
State constituency,Polling Districts,Code,Location,PH,PN,BN
Kampung Tunku (N35),Seksyen 21 Timur,106/35/01,SMK (P) Sri Aman,1779,81,99
,Seksyen 20 Utara,106/35/02,SMK (P) Sri Aman,2233,31,68
,Seksyen 20 Selatan,106/35/03,SMK (P) Sri Aman,1289,16,44
,Seksyen 22,106/35/04,SMK (P) Sri Aman,1316,205,186
,Kampung Tunku Utara,106/35/05,SK Kampung Tunku,1542,266,203
,Kampung Tunku Selatan,106/35/06,SK Kampung Tunku,2042,263,258
,SS 3 Utara,106/35/07,SMK Sri Permata,1799,410,399
,SS 3 Barat,106/35/08,SMK Sri Permata,1895,251,226
,SS 3 Timur,106/35/09,Dewan Seberguna SS 3/14 Petaling Jaya,2465,72,122
,Sungai Way Utara,106/35/10,SJK (C) Sungai Way,2433,213,274
,Sungai Way Tengah Dua,106/35/11,SJK (C) Sungai Way,743,49,71
,Sungai Way Tengah Satu,106/35/12,SJK (C) Sungai Way,742,26,46
,Sungai Way Selatan Dua,106/36/13,SJK (C) Sungai Way,617,29,27
,Sungai Way Selatan Satu,106/35/14,SJK (C) Sungai Way,1082,61,101
,SS 2 Utara,106/35/15,SK Taman Sea,3422,66,112
,SS 2 Tengah,106/35/16,SJK (C) Puay Chai,4740,107,161
,SS 2 Selatan,106/35/17,SMK Taman S.E.A,3405,84,165
,Seksyen 21 Barat,106/35/18,SMK Taman S.E.A,1349,22,40
Bandar Utama (N36),SS 21 Utara,106/36/01,SK Damansara Utama,1956,192,239
,SS 20,106/36/02,SMK Damansara Utama,2100,116,148
,Damansara Jaya Utara,106/36/03,SMK Damansara Jaya,2431,101,113
,SS 23,106/36/04,SK Taman Megah,2845,24,72
,SS 24,106/36/05,SK Taman Megah,1988,12,45
,SS 26,106/36/06,SJK (C) Yuk Chai,2198,18,66
,Kampung Chempaka,106/36/07,SMK Tropicana Petaling Jaya,5668,82,205
,SS 25,106/36/08,SK Taman Megah,2018,17,65
,SS 4,106/36/09,SMK Kelana Jaya SS4,3552,482,470
,SS 21 Selatan,106/36/10,Dewan Seberguna MBPJ SS 21/12,1479,140,136
,Damansara Jaya Selatan,106/36/11,"- SK Damansara Jaya (1)
   - SK Damansara Jaya (2)",1882,105,105
,Bandar Utama BU 1 & BU 2,106/36/12,SMK Bandar Utama,2120,87,105
,Sungai Kayu Ara Utara,106/36/13,SRA Kampung Sungai Kayu Ara,1686,1037,787
,Bandar Utama BU 3 - BU 10,106/36/14,SMK Bandar Utama Damansara (3),3425,127,175
,Bandar Utama BU 11 - BU 12,106/36/15,SJK (T) Effingham Bandar Utama,2586,173,142
,Sungai Kayu Ara Selatan,106/36/16,SK Bandar Utama Damansara,1225,429,197
,Kayu Ara Indah,106/36/17,SK Bandar Utama Damansara (2),640,389,351
,Sunway Damansara PJU 3,106/36/18,SJK (C) Damansara,3049,86,150
Bukit Lanjan (N37),Desa Jaya Jalan 1 - Jalan 19,106/37/01,SJK (C) Desa Jaya,2214,105,140
,Sri Damansara Jalan SD 1 - Jalan SD 5,106/37/02,SK Bandar Baru Sri Damansara,4197,445,385
,Sri Damansara Jalan SD 7 - Jalan SD 9,106/37/03,SK Bandar Sri Damanaara 3,4025,368,274
,Bukit Lanjan,106/37/04,SK Bukit Lanjan (Asli) Bandar Damansara Perdana,4445,1325,792
,Desa Jaya Jalan 20 - Jalan 38,106/37/05,SJK (C) Desa Jaya,2191,167,136
,Desa Jaya Jalan 39 - Jalan 56,106/37/06,SJK (C) Desa Jaya,1623,382,245
,Damansara Damai PJU 10,106/37/07,SMK Damansara Damai 1,3441,1471,667
,Sri Damasara Jalan SD 10,106/37/08,SMK Bandar Sri Damansara (2),5451,1144,535
,Sri Damansara Jalan SD 12,106/37/09,SK Bandar Sri Damansara (2),522,525,178
,Saujana Damansara PJU 10,106/37/10,SK Damansara Damai 1,2937,2070,843
,Taman Ehsan Jalan 5,106/37/11,SK Taman Ehsan,1898,452,363
,Taman Ehsan Jalan 2,106/37/12,SMK Taman Ehsan,1998,309,265
,Desa Aman Puri,106/37/13,SK Desa Amanpuri,8313,715,421
,Taman Ehsan Jalan 4,106/37/14,SRA Taman Ehsan Kepong,1800,437,338
,Sungai Buloh,106/37/15,SJK (T) Saraswathy,3273,239,319
,Selayang Utama,106/37/16,SK Selayang Utama,2137,505,428
,Kepong Utara,106/37/17,"SK Kepong, FRIM",1375,285,230
,Selayang Jaya,106/37/18,SK Selayang Jaya,4169,262,296
,Taman Daya,106/37/19,SMK Kepong,2893,46,57
,Taman Indah Perdana,106/37/20,Padang Awam Taman Indah Perdana Kepong,1861,38,77
,Taman Bidara,106/37/21,Dewan Seberguna Taman Bidara,2144,669,302
