P107 Sungai Buloh,,,,,,,,,,
,,,,Votes,,,,,Razak,Nurhaslinda
State constituency,Polling districts,Code,Location,PH,BN,PN,PEJUANG,PRM,BEBAS,BEBAS
Paya Jaras（N38）,Petempatan Sungai Buloh,107/38/01,SK Sungai Buloh,1977,1837,1099,25,19,5,9
,Bandar Baru Sungai Buloh Utara,107/38/02,KAFA Integrasi Al-Ikhwan Bandar Baru Sungai Buloh,1687,1355,690,25,7,5,4
,Bukit Rahman Putra,107/38/03,SK Bukit Rahman Putra,4592,1099,259,25,7,2,1
,Merbau Sempak,107/38/04,Pintu 3 SK Merbau Sempak,934,1867,1112,30,9,7,8
,Paya Jaras,107/38/05,SRA Paya Jaras,1393,3712,1920,41,8,4,10
,Bandar Baru Sungai Buloh Selatan,107/38/06,SK Bandar Baru Sungai Buloh,1324,1526,734,34,12,4,3
,Sungai Pelong,107/38/07,SK Sungai Pelong,416,1083,683,17,4,3,1
,Paya Jaras Hilir,107/38/08,Dewan MBSA Seri Pagi Kampung Paya Jaras U19,532,1818,1363,21,10,6,8
,Matang Pagar,107/38/09,SMK Bukit Rahman Putra,2893,1334,716,19,11,5,6
,Kubu Gajah,107/38/10,Pintu 1 SK Merbau Sempak,863,2248,1807,37,12,6,5
,Taman Saujana Utama,107/38/11,SMK Saujana Utama,3163,5192,3547,100,33,19,5
Kota Damansara（N39）,Kampung Baharu Sungai Buloh Sekolah,107/39/01,SJK (C) Kampung Baharu Sungai Buloh,2518,301,38,11,4,8,3
,RRI Sungai Buloh,107/39/02,SJK (T) R.R.I Sungai Buloh,710,533,206,12,2,5,3
,Pinggiran Subang,107/39/03,SK Subang Bestari,1675,1343,916,25,7,3,2
,Taman Subang Baru,107/39/04,SMK Subang,1365,1387,713,44,4,0,2
,Kampung Melayu Subang,107/39/05,SRA Islam Kampung Melayu Subang,805,1780,1371,19,5,7,5
,Subang Perdana,107/39/06,SK Jalan U3,1455,1610,1083,22,6,1,4
,Kota Damansara Seksyen 4 Dan 5,107/39/07,SMK Seksyen 8 Kota Damansara,5014,2751,1265,61,11,19,6
,LTSSAAS Subang,107/39/08,Asia Pacific Schools,327,204,100,8,2,2,2
,Kampung Baharu Subang,107/39/09,SJK (C) Subang,2467,290,109,10,9,8,2
,Kota Damansara Seksyen 7,107/39/10,SK Seksyen 7 Kota Damansara,1600,2333,1334,26,11,3,4
,Kampung Baharu Sungai Buloh Dewan,107/39/11,SJK (C) Kampung Baharu Sungai Buloh,1741,320,100,6,7,10,1
,Jalan Merbau Kampung Melayu Subang,107/39/12,SK Subang,849,1297,1012,21,7,2,0
,Mutiara Subang,107/39/13,"- SMK Subang Bestari
   - SK Subang Bestari (2)",4538,3883,2881,66,28,16,5
,Kota Damansara Seksyen 6,107/39/14,SK Seksyen 6 Kota Damansara,2120,2291,1220,34,9,7,8
,Kota Damansara Seksyen 8 Dan 9,107/39/15,SK Seksyen 9 Kota Damansara,1721,1497,799,36,7,2,3
,Kota Damansara Seksyen 10 Dan 11,107/39/16,SK Seksyen 11 Kota Damansara,1483,1292,636,37,11,6,4
,Kem Sungai Buloh,107/39/17,Dewan MBSA Kampung Baru Sungai Buloh,13,93,93,1,0,0,0
