P116 Wangsa Maju,,,,,,,,
,,,Votes,,,,,
Polling District,Code,Location,PH,PN,BN,PEJUANG,WARISAN,BEBAS
Flat Taman Melati,116/00/01,SMK Taman Melati,1439,1585,1208,66,17,8
Taman Melati,116/00/02,SK Taman Melati,1683,1316,830,73,12,9
Rumah Pangsa Dewan Bandaraya,116/00/03,SK Setapak Indah,2485,3264,2581,64,19,18
Taman Ibu Kota,116/00/04,SMK Setapak Indah,2515,936,881,62,22,15
Taman Setapak,116/00/05,SMK Danau Kota,3680,579,682,37,30,7
Gombak Utara,116/00/06,SJK (C) Nan Yik 'Lee Rubber',2080,1283,919,33,26,11
Changkat,116/00/07,SRA Ibnul Jauzi (SEA Daruttarbiah Islamiah),1858,1391,779,81,14,9
Kampung Padang Balang,116/00/08,"SRA Saidina Ali (K.W), Kampung Padang Balang",1336,2661,1083,61,8,2
Gombak Selatan,116/00/09,SMJK Chong Hwa,2268,763,595,36,34,4
Kampung Puah,116/00/10,SRA Bilal Bin Rabah (SRA Kampung Puah),736,767,810,26,10,1
Taman P Ramlee,116/00/11,SJK (C) Mun Yee,1480,99,132,7,26,9
Jalan Gombak,116/00/12,SRA Zaid Bin Harithah (SRA Sungai Mulia),3001,243,309,20,44,13
Teratai Mewah,116/00/13,SK Danau Kota 2,3739,357,306,22,46,9
Danau Kota,116/00/14,SK Danau Kota,3208,1271,1099,56,40,20
Genting Kelang,116/00/15,Kolej Universiti Tuanku Abdul Rahman,1037,1417,1044,51,11,8
Seksyen 1 Wangsa Maju Utara,116/00/16,SK Wangsa Maju Seksyen 1,1395,1672,1397,55,18,6
Seksyen 1 Wangsa Maju Selatan,116/00/17,"- SMK Zon R1 Wangsa Maju
   - Gelanggang Terbuka Sekolah Mengah Kebangsaan Pendidikan Khas Setapak",1565,1326,1332,43,22,12
Taman Desa Setapak,116/00/18,SK Desa Setapak,2085,397,345,13,27,3
Seksyen 2 Wangsa Maju,116/00/19,SMK Wangsa Maju 2,3913,828,704,40,73,17
Seksyen 4 Wangsa Maju,116/00/20,SK Wangsa Jaya,1307,523,482,20,21,10
Taman Wangsa Melawati,116/00/21,SMK Wangsa Melawati,2443,909,791,80,24,15
