P131 Rembau,,,,,,,,
,,,,Votes,,,,
State constituency,Polling districts,Code,Location,BN,PH,PN,PSM,PEJUANG
Paroi（N25）,Paroi,131/25/01,SK Paroi,1095,945,682,9,28
,Taman Satria,131/25/02,"- SK Taman Seri Pagi
   - SMK Seri Pagi",3226,1744,2244,21,32
,Taman Tuanku Jaafar,131/25/03,"- SK Taman Tuanku Jaafar 2
   - SMK Taman Tuanku Jaafar",2225,1430,976,42,30
,Taman Sri Permata,131/25/04,Sekolah Dato' Abdul Razak,168,676,24,20,4
,Kombok,131/25/05,SJK (T) Ladang Kombok,119,453,23,11,0
,Taman Tasik Jaya,131/25/06,"- SK Taman Tasik Jaya
   - Dewan Orang Ramai Taman Tasik Jaya",2471,1132,1525,10,34
,Bukit Seri Senawang,131/25/07,"- SJK (T) Ladang Senawang
   - SJK (T) Ladang Seremban
   - SK Taman Tuanku Jaafar",3469,3533,2293,78,52
,Taman Kobena,131/25/08,"- SK Senawang 3
   - Balai Raya Taman Teratai
   - Balai Raya Taman Kobena
   - Tabika Kemas Taman Kobena",2174,1406,1289,25,29
,Senawang Jaya,131/25/09,"- SK Senawang
   - SK Lavender Height",2890,2255,1700,41,36
,Taman Marida,131/25/10,SMK Senawang,1623,1944,963,14,26
Chembong (N26),Ulu Pedas,131/26/01,SMA Dato Haji Abu Hassan Haji Sail,210,253,42,25,3
,Sepri,131/26/02,SK Sepri,540,84,191,1,2
,Kampong Rendah,131/26/03,SK Kayu Ara,684,143,219,2,4
,Kampong Senama Ulu,131/26/04,SK Taman Seri Rembau,533,133,169,1,3
,Chembong,131/26/05,SK Chembong,1729,829,635,39,15
,Pekan Pedas,131/26/06,SJK (C) Pei Hwa Pedas,980,908,272,72,7
,Kampong Pedas Tengah,131/26/07,SK Pedas,1449,368,520,8,17
,Pekan Rembau,131/26/08,"- SMK Undang Rembau
   - SJK (C) Yuk Hua Rembau",2114,1214,1002,19,17
,Batu Hampar,131/26/09,SK Seberang Batu Hampar,372,133,105,0,6
,Mampong,131/26/10,SK Undang Rembau,555,119,182,0,3
,Pilin,131/26/11,SK Pilin,603,145,198,1,14
,Kundor,131/26/12,SK Kundor,1323,249,393,2,5
Rantau (N27),Kampong Sendayan,131/27/01,SMK Bandar Baru Seri Sendayan,1030,617,499,8,13
,Sendayan,131/27/02,SJK (T) Bandar Sri Sendayan,1883,956,672,3,24
,Taman Kelab Tuanku,131/27/03,SMK Mambau,1175,759,263,12,6
,Kampong Mambau,131/27/04,SK Mambau,254,252,52,3,0
,Kampong Bemban,131/27/05,SJK (T) Ladang Shanghai Seremban,338,88,60,0,2
,Kuala Sawah,131/27/06,SK Nyatoh,1110,1405,173,31,5
,Kampong Sri Lalang,131/27/07,SK Datuk Akhir Zaman,811,411,115,15,3
,Kampong Sega,131/27/08,SK Sega,821,179,101,4,2
,Pekan Sagga,131/27/09,SJK (T) Ldg Sagga,285,299,20,21,2
,Rantau,131/27/10,"- SJK (C) Chung Hua Rantau
   - Kompleks Sukan Komuniti Rantau",1132,1118,98,41,6
,Linsum,131/27/11,SK Dato' Raja Melana,616,583,91,27,3
,Kampong Siliau,131/27/12,SK Seliau,755,488,59,53,3
,Angsa Emas,131/27/13,Dewan Orang Ramai Taman Angsamas,1246,955,269,6,3
,Bandar Ekar,132/27/14,SJK (T) Rantau,901,1840,107,58,3
Kota (N28),Kampong Batu,131/28/01,SK Kampong Batu,572,200,138,2,4
,Selemak,131/28/02,SK Salak Nama,816,253,268,2,12
,Kampong Bongek,131/28/03,SK Bongek,439,103,160,0,2
,Kampong Chengkau Ulu,131/28/04,"- Balai Raya Chengkau Ulu Rantau
   - Tabika Kemas Kampung Chengkau Ulu",310,67,91,0,2
,Kampong Gadong,131/28/05,SMA Haji Mohd. Yatim,320,34,110,1,0
,Kampong Kendong,131/28/06,SK Kota,687,207,285,2,10
,Kota,131/28/07,SJK (C) Pei Teck,598,775,216,31,10
,Semerbok,131/28/08,SK Semerbok,319,85,116,2,4
,Kampong Sawah Raja,131/28/09,SK Sawah Raja,225,87,63,1,0
,Titian Bintangor,131/28/10,SK Dato Shah Bandar Rembau,1168,403,310,3,10
,Astana Raja,131/28/11,SK Astana Raja,665,163,247,0,9
,Legong Ulu,131/28/12,SK Legong Ulu,276,70,94,1,0
,Pekan Chengkau,131/28/13,SK Chengkau,370,200,157,2,3
,Kampong Penajis,131/28/14,SK Tun Haji Abdul Malek,407,78,111,0,3
,Kampong Pulau Mampat,131/28/15,SK Pulau Besar,313,83,139,0,2
