P132 Port Dickson,,,,,,,,
,,,,Votes,,,,
State constituency,Polling districts,Code,Location,PH,BN,PN,PEJUANG,BEBAS
Chuah（N29）,Tanah Merah,132/29/01,"- SJK (T) Ladang Tanah Merah
   - SJK (C) Kampung Baru Tanah Merah Site A
   - SMK Tanah Merah",2469,656,203,18,10
,Kampung Pachitan,132/29/02,SK Kg Sawah,1287,556,232,11,3
,Bukit Pelandok,132/29/03,SJK (C) Yik Chiao,2091,320,74,6,3
,Sungai Nipah,132/29/04,SJK (C) Kg Baru Sg Nipah,697,149,19,5,0
,Chuah,132/29/05,SMA Chuah,1412,727,350,24,5
Lukut (N30）,Kampung Jimah Baru,132/30/01,SK Jimah Baru,295,422,274,10,2
,Bandar Spring Hill,132/30/02,SJK (T) Bandar Springhill,2614,678,523,28,17
,Taman Indah Jaya,132/30/03,SK Lukut,1753,314,238,13,4
,Kuala Lukut,132/30/04,SMK Raja Jumaat,3265,359,308,22,11
,Lukut,132/30/05,SJK (T) Ladang Sungai Salak,2102,391,295,15,6
,Sri Parit,132/30/06,SJK (C) Chung Hua Lukut,3022,256,205,9,12
,Tanjong Gemok,132/30/07,SJK (C) Bradwall,2381,370,270,17,14
Bagan Pinang（N31）,Ladang Atherton,132/31/01,SJK (T) Ladang Atherton,180,57,13,3,6
,Pekan Siliau,132/31/02,SJK (T) Ldg Siliau,285,123,25,6,3
,Ladang Bradwall,132/31/03,SJK (T) Ldg Bradwall,153,96,6,2,4
,Sua Betong,132/31/04,SJK (T) Ldg Sua Betong,325,122,65,8,4
,Sunggala,132/31/05,SK Si-Rusa,150,613,284,1,9
,Kampung Bagan Pinang,132/31/06,SK Panglima Adnan,748,908,1110,53,22
,Si Rusa,132/31/07,SK Kampung Baru Sirusa,644,801,1002,29,12
,Telok Kemang,132/31/08,"- SK Telok Kemang
   - SMA Telok Kemang",1802,1612,2450,88,24
Linggi（N32）,Ayer Kuning,132/32/01,Balai Raya Kampung Barisan,527,194,60,2,1
,Linggi,132/32/02,SK Linggi,621,638,304,23,8
,Kampung Pengkalan Durian,132/32/03,Pusat Pemulihan Dalam Komuniti Cahaya Ikhsan Linggi,609,337,219,3,4
,Pengkalan Kempas,132/32/04,SK Permatang Pasir,634,303,196,9,0
,Ladang Sengkang,132/32/05,SJK (T) Ladang Sengkang,414,195,6,5,4
,Kampong Sungai Raya,132/32/06,SK Tanjong Agas,271,719,720,20,1
,Pasir Panjang,132/32/07,"- SJK (C) Chung Hua Pasir Panjang
   - Balai Raya Kampung Orang Asli Palebar Baru",1067,817,582,23,2
,Bandar Baru Sunggala,132/32/08,"- SK Intan Perdana
   - SMK Intan Perdana",1242,1233,1249,41,18
Sri Tanjong（N33）,Kampung Paya,132/33/01,"- KV Port Dickson
   - SRA Taman Desa Permai",2927,1375,1021,68,14
,Kampung Arab,132/33/02,SK Kampong Gelam,1303,301,173,11,3
,Kampung Chokra,132/33/03,SJK (T) Port Dickson,1897,496,247,200,11
,Pekan Port Dickson,132/33/04,"- SK Port Dickson
   - SMK Datuk Haji Abdul Samad",2627,826,769,48,20
