P137 Hang Tuah Jaya,,,,,,,
,,,,Votes,,,
State constituency,Polling District,Code,Location,PH,BN,PN,PEJUANG
Pengkalan Batu（N15）,Bachang Baru,137/15/01,Kompleks JAPERUN DUN Bachang,1069,287,166,5
,Pasir Puteh,137/15/02,SJK (C) Yu Hwa,1459,1897,1189,38
,Pengkalan Batu,137/15/03,SMA Sultan Muhammad,787,526,359,10
,Rumpun Bahagia,137/15/04,Balai Raya Taman Rumpun Bahagia,620,221,144,10
,Peringgit,137/15/05,SK Peringgit,913,1041,778,40
,Peringgit Jaya,137/15/06,SRA (JAIM) Taman Peringgit Jaya,1021,623,391,29
,Bukit Palah,137/15/07,SRA (JAIM) Peringgit,447,505,376,12
,Seri Siantan,137/15/08,SRA (JAIM) Solok Musai,1006,655,574,12
,Bukit Piatu,137/15/09,SM Teknik Melaka,579,1214,921,24
Ayer Keroh（N16）,Sungai Putat,137/16/01,"- SMK Tun Mutahir
   - SMK Munshi Abdullah",3345,1657,1468,37
,Kampung Ayer Keroh,137/16/02,SK Tun Syed Ahmad Shahabudin,1570,680,575,43
,Ayer Keroh Heights,137/16/03,SRA (JAIM) Ayer Keroh,2221,870,577,41
,Taman Kerjasama,137/16/04,Pusat Rujukan Sosial (KRT) Taman Kerjasama,2795,661,484,15
,Taman Bukit Melaka,137/16/05,Dewan MPHTJ Bukit Beruang,2066,126,42,6
,Taman Bunga Raya,137/16/06,SJK (C) Bukit Beruang,955,317,244,11
,Taman Muzaffar Shah,137/16/07,SK Ayer Keroh,1764,555,399,28
,Kampung Tun Razak,137/16/08,SR Arab (JAIM) Kampung Tun Razak,1778,787,678,35
Bukit Katil（N17）,Bukit Beruang,137/17/01,SMK Bukit Baru,1926,1369,1008,38
,Padang Jambu,137/17/02,SRA (JAIM) Padang Jambu,1103,582,409,15
,Bukit Baru Dalam,137/17/03,SJK (C) Keh Seng,1622,825,442,16
,Paya Ikan,137/17/04,SK Jalan Datuk Palembang,534,450,298,21
,Bukit Pulau,137/17/05,SRA (JAIM) Bukit Pulau,631,863,483,17
,Kampungku Sayang,137/17/06,SK Bukit Baru,1053,503,298,4
,Taman Tun Rahah,137/17/07,Kolej Vokasional Melaka Tengah,1803,1451,1147,60
,Kampung Bukit Katil,137/17/08,"- SK Dato' Demang Hussin, SRA (JAIM) Bukit Katil
   - SMK Bukit Katil",1794,2923,2140,45
Ayer Molek (N18）,Pengkalan Minyak,137/18/01,SRA (JAIM) Pengkalan Minyak,785,1400,1243,32
,Tambak Paya,137/18/02,SK Tambak Paya,494,662,454,15
,Kg Ayer Molek,137/18/03,SK Ayer Molek,368,928,835,10
,Bukit Lintang,137/18/04,SK Bukit Lintang,476,1112,1434,18
,Kandang,137/18/05,SK Bendahara Seri Maharaja,546,1647,1699,11
,Tiang Dua,137/18/06,SJK (C) Tiang Dua,645,296,155,6
,Paya Dalam,137/18/07,SK Paya Dalam,618,1679,1308,20
