P141 Sekijang,,,,,,,,
,,,,Votes,,,,
State constituency,Polling districts,Code,Location,PH,BN,PN,WARISAN,PEJUANG
Pemanis（N03）,Pemanis 1,0141/03/01,SK LKTP Pemanis 1,99,1779,734,8,8
,Pemanis 2,0141/03/02,SK (FELDA) Pemanis 2,85,1376,650,9,6
,Bumbun,0141/03/03,SA Mukim Jabi Kampung Bumbun,118,520,396,2,7
,Sulir,0141/03/04,SK Dato Seri Maharaja Lela,227,462,451,15,6
,Pekan Jabi,0141/03/05,SJK (C) Jabi,1784,433,388,35,5
,Tahang Rimau,0141/03/06,SK Datuk Wan Idris,825,336,214,20,5
,Jalan Buloh Kasap,0141/03/07,SMJK Seg Hwa,265,81,47,3,0
,Kampong Mengkudu,0141/03/08,Balai Raya Jalan Pemuda,342,214,141,9,2
,Kampong Tengah,0141/03/09,SJK (C) Kampung Tengah,1454,332,338,27,5
,FELDA Medoi,0141/03/10,SK LKTP Medoi,120,860,556,7,5
,Kampong Jawa,0141/03/11,"- SK Kampong Jawa
   - SA Kampong Jawa",1716,1573,1220,32,25
,Gubah,0141/03/12,SK Kampong Tengah,445,484,339,25,4
,Kampong Abdullah Selatan,0141/03/13,SK Canossian Convent,545,36,6,6,0
Kemelah（N04）,Segamat Baru,0141/04/01,"- SK Segamat Baru
   - SK Bandar Putra",2782,524,361,30,13
,Ladang Segamat,0141/04/02,SJK (T) Ladang Segamat,213,151,62,1,1
,FELDA Kemelah,0141/04/03,SK (FELDA) Kemelah,129,1105,705,13,1
,Redong,0141/04/04,SK (FELDA) Redong,185,1788,1885,2,5
,Sekijang,0141/04/05,Balai Raya Ladang RISDA Kg. Sekijang,14,209,96,1,1
,Chuan Moh San,0141/04/06,SJK (C) Tua Ooh,122,106,34,1,0
,Kampong Melayu Raya,0141/04/07,SK Melayu Raya,140,656,393,3,3
,Bukit Siput,0141/04/08,SK Kampung Paya Besar,37,260,180,3,0
,Pekan Bukit Siput Utara,0141/04/09,SJK (C) Bukit Siput,2093,240,138,15,5
,Paya Pulai,0141/04/10,SA Taman Pelangi,988,773,580,18,6
,Pogoh,0141/04/11,SK Pagoh,119,749,416,13,5
,Pekan Bukit Siput Selatan,0141/04/12,"- SRA Bersepadu Segamat
   - SA Bukit Siput",2279,924,754,23,6
,Bandar Putra Segamat,0141/04/13,SMK Bandar Putra,1525,697,700,13,10
