P149 Sri Gading,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,PH,PN,BN,PEJUANG
Parit Yaani（N21）,Parit Jambi,149/21/01,SK Tenaga Sepakat,32,115,212,1
,Parit Selulun,149/21/02,SK Seri Tanjong,89,175,286,1
,Bukit Rahmat,149/21/03,SK Bukit Rahmat,268,473,706,6
,Tongkang Pechah,149/21/04,SJK (C) Tongkang,1066,931,693,17
,Bandar Tongkang Pechah,149/21/05,SK Seri Binjai,1875,540,873,19
,Parit Buloh,149/21/06,SK Bindu,733,372,636,4
,Pekan Parit Yaani,149/21/07,SJK (C) Yani,572,416,456,4
,Kampong Bahru Parit Yaani,149/21/08,SK Seri Telok,203,707,1359,4
,Kampong Bahru,149/21/09,SK Seri Idaman,95,204,366,4
,Parit Yob,149/21/10,SK Seri Bengkal,224,473,612,4
,Broleh Utara,149/21/11,"- SK Seri Beroleh
   - SA Seri Beroleh",1860,1626,1157,30
,Broleh Tengah,149/21/12,"- SK Bukit Soga
   - SJK (C) Hwa Nan",2009,1532,1075,25
,Bukit Pasir Timor,149/21/13,"- SJK (C) Sin Hwa
   - SJK (C) Hua Min",5421,636,622,18
Parit Raja（N22）,Taman Sri Saga,149/22/01,SMK Munshi Sulaiman,1024,235,230,7
,Broleh Selatan,149/22/02,"Blok Bistari, Institut Pendidikan Guru, Kampus Tun Hussein Onn Batu Pahat",953,506,302,12
,Batu Enam,149/22/03,SJK (C) Panchor,1583,377,448,13
,Sri Gading,149/22/04,SK Sri Gading,393,614,564,15
,Bandar Sri Gading,149/22/05,SJK (C) Chong Hwa Sri Gading,683,324,360,11
,Tanjong Sembrong,149/22/06,SK Tg Semberong,26,75,128,0
,Bandar Parit Raja Utara,149/22/07,SMK Tun Ismail,458,495,531,4
,Bandar Parit Raja Selatan,149/22/08,SK Parit Raja,634,360,382,3
,Pintas Puding,149/22/09,SK Pintas Puding,667,1632,1487,21
,Parit Jelutong,149/22/10,SK Jelutong,399,1432,1173,10
,Pintas Raya,149/22/11,SK Pintas Raya,171,546,568,10
,Sri Gading Estate,149/22/12,SJK (T) Sri Gading,251,168,226,6
,Parit Kampong Baru,149/22/13,SK Seri Aman,131,638,708,7
,Parit Sri Pandan,149/22/14,SK Seri Pandan,54,164,190,4
,Parit Lapis Sempadan,149/22/15,SK Seri Puleh,150,435,495,10
,Parit Raja,149/22/16,SMA Parit Raja,803,1382,1196,22
,Parit Sri Menanti,149/22/17,SK Seri Timbul,163,430,698,6
