Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
4,1974,1978,Hussein Onn,BN-UMNO,N/A,N/A
5,1978,1981,Hussein Onn,BN-UMNO,19761-89.06%,17334-78.12%
5.5,1981,1982,Mustaffa Mohammad,BN-UMNO,21037-91.42%,19063-82.84%
6,1982,1986,Mustaffa Mohammad,BN-UMNO,23369-88.46%,20321-76.92%
7,1986,1990,Mustaffa Mohammad,BN-UMNO,N/A,N/A
8,1990,1995,Mohd Yasin Kamari,BN-UMNO,22205-74.44%,14580-48.88%
9,1995,1999,Hamzah Ramli,BN-UMNO,31353-86.24%,26350-72.48%
10,1999,2004,Mohamad Aziz,BN-UMNO,29156-71.54%,17558-43.08%
11,2004,2008,Mohamad Aziz,BN-UMNO,21512-80.16%,16196-60.36%
12,2008,2013,Mohamad Aziz,BN-UMNO,19641-69.14%,10874-38.28%
13,2013,2018,Ab Aziz Kaprawi,BN-UMNO,22453-57.36%,5761-14.72%
14,2018,2020,Shahruddin Md Salleh,PH-BERSATU,21511-48.58%,3288-7.43%
14.25,2020,2020,Shahruddin Md Salleh,PN-BERSATU,N/A,N/A
14.5,2020,2020,Shahruddin Md Salleh,INDEPENDENT,N/A,N/A
14.75,2020,2022,Shahruddin Md Salleh,PEJUANG,N/A,N/A
15,2022,,Aminolhuda Hassan,PH-AMANAH,23242-37.42%,4000-6.52%
