P153 Sembrong,,,,,,
,,,,Votes,,
State constituency,Polling districts,Code,Location,BN,PH,PN
Paloh（N30）,Klebang,153/30/01,Dewan Orang Ramai Ladang Kempas Klebang,165,174,17
,Kampong Melayu Paloh,153/30/02,SK Bukit Paloh,743,202,71
,Ladang Paloh,153/30/03,Balai Raya Ladang Paloh,237,152,35
,Paloh,153/30/04,SMK Paloh,447,1361,70
,Bandar Paloh Utara,153/30/05,SJK (C) Paloh,327,1335,21
,Bandar Paloh Selatan,153/30/06,SK Bandar Paloh,167,481,16
,Kampong Muhibbah,153/30/07,SA Bandar Paloh,840,462,210
,Kali Malaya,153/30/08,SJK (C) Yu Ming,62,53,10
,Bukit Paloh,153/30/09,Dewan Orang Ramai Ladang Bukit Paloh,118,71,21
,Ladang Landak,153/30/10,Balai Raya Ladang Landak,205,27,15
,Ladang Kekayaan,153/30/11,Balai Raya Ladang Kekayaan,268,39,62
,Chamek,152/30/12,Dewan Seberguna Chamek,802,814,137
,Consolidated Eastern Planations,153/30/13,SJK (C) Lit Terk,409,494,80
,Tereh Selatan,153/30/14,SK Ladang Tereh,250,14,67
,Pengkalan Tereh,150/30/15,SK Pengkalan Tereh,198,40,20
,Ladang Pamol,150/30/16,SK Ladang Pamol,298,251,49
,Pekan Kampong Gajah,153/30/17,SJK (C) Kampung Gajah,495,538,92
,Kampong Gajah,150/30/18,SJK (C) Kampong Gajah,1117,607,518
,FELDA Kahang Barat,150/38/19,SK (FELDA) Kahang Barat,1575,163,629
Kahang（N31）,Kangkar Kahang Timor,153/31/01,SJK (C) Kahang,358,1412,52
,Kangkar Kahang Barat,153/30/02,SA Kampung Contoh,315,1017,40
,Kahang,153/31/03,"- SK Kahang
   - SK Seri Sedohok",1518,456,501
,FELDA Kahang Timor,153/31/04,SK (FELDA) Kahang Timur,1953,160,615
,FELDA Ulu Dengar,153/31/05,SK LKTP Ulu Dengar,1193,86,351
,Sri Lambak,153/31/06,SA Taman Sri Lambak,3169,1528,846
,Sungai Sayong,154/31/07,SJK (C) Sayong,131,208,7
,FELDA Bukit Tongkat,153/31/08,SMK LKTP Belitong,1100,46,261
,FELDA Ulu Belitong,153/31/09,SK LKTP Belitong,2039,120,537
,FELDA Ulu Pengeli,153/31/10,SK (FELDA) Ulu Pengeli,1520,55,361
