P155 Tenggara,,,,,,,
,,,,Votes,,,
State constituency,Polling districts,Code,Location,BN,PN,PH,PEJUANG
Panti（N34）,Bandar Tenggara Utara,155/34/01,SK Bandar Tenggara 1,1659,1305,270,18
,FELDA Pengeli Timor,155/34/02,SK FELDA Pengeli Timor,1515,1007,158,17
,Sungai Sibol,155/34/03,SK FELDA Sungai Sibol,1224,872,118,16
,Linggiu,155/34/04,SK (FELDA) Linggiu,1314,699,301,8
,Ulu Sungai Johor,155/34/05,SK Semanggar,770,447,79,8
,Pelepah Valley,155/34/06,Dewan Seri Teratai,348,252,97,4
,Bukit Lintang,155/34/07,SK Bukit Lintang,592,554,100,9
,Kampong Lukut,155/34/08,"- Dewan Semerah Padi Kampung Lukut Kota Tinggi
   - Balai Aktiviti Komuniti Kg. Lukut",582,488,89,3
,Kota Tinggi Utara,155/34/09,SMK Bandar,337,296,171,9
,Bandar Tenggara Selatan,155/34/10,SK Bandar Tenggara 2,1486,1691,421,18
,Kampong Kelantan,155/34/11,SJK (C) Pei Hwa,603,493,556,16
,Kota Jaya Utara,155/34/12,SMK Taman Kota Jaya,744,950,1770,14
,Kota Jaya Selatan,155/34/13,SK Taman Kota Jaya,1080,1466,1938,34
Pasir Raja (N35),FELDA Sungai Sayong,155/35/01,SK LKTP Sungai Sayong,1173,926,167,6
,FELDA Bukit Besar,155/35/02,SK LKTP Bukit Besar,1295,1020,146,13
,FELDA Pasir Raja,155/35/03,SK LKTP Pasir Raja,964,820,111,10
,FELDA Bukit Ramun,155/35/04,SK LKTP Bukit Ramun,910,585,88,9
,Sungai Telor,155/35/05,"- Balai Raya Kg. Baru Sg. Telor
   - Dewan Terbuka Kg. Baru Sg. Telor",372,267,81,6
,Sungai Johor,155/35/06,SK Sungai Telor,385,282,140,7
,Sungai Kemang Selatan,155/35/07,SA Taman Kota Jaya,93,72,340,9
,Jalan Besar,155/35/08,SK Bandar,10,2,28,0
,Jalan Johor,155/35/09,SMK Laksamana,441,280,1687,27
,Kota Tinggi Selatan,155/35/10,SJK (T) Jalan Tajul,545,486,1016,23
,Ladang R.E.M.,155/35/11,SJK (T) Ladang Rem,129,51,65,9
,Jalan Kota Tinggi,155/35/12,SA Taman Seri Saujana 1,1123,1639,1387,33
,Kampung Baru Sungai Redan,155/35/13,Balai Aktiviti Komuniti Kg. Baru Sg. Redan,227,106,18,2
