P157 Pengerang,,,,,,
,,,,Votes,,
State constituency,Polling districts,Code,Location,BN,PN,PH
Penawar（N38）,Air Tawar 1,157/38/01,SK (FELDA) Air Tawar 1,1567,1558,168
,Air Tawar 4,157/38/02,SK (FELDA) Air Tawar 4,1409,1025,116
,Papan Timor,157/38/03,SMK Bandar Mas,1232,901,80
,Penawar,157/38/04,SK Bandar Penawar,1159,1671,299
,Sungai Mas,157/38/05,SK LKTP Sungai Mas,2040,1472,169
,Bandar Mas,157/38/06,SK Bandar Mas,576,678,137
,Air Tawar 5,157/38/07,SK (FELDA) Air Tawar 5,1567,1330,190
,Semenchu,157/38/08,SK (FELDA) Semenchu,1655,1279,144
,Sungai Layau,157/38/09,SK Kampong Layau,334,92,7
,Tanjong Buai,157/38/10,SK Tanjong Buai,150,42,0
Tanjung Surat（N39）,Tanjong Surat,157/39/01,SK Tanjung Surat,224,96,13
,Tanjong Serindit,157/39/02,SA Tanjung Serindit,302,108,40
,Adela,157/39/03,SK (FELDA) Adela,1298,856,77
,Bukit Tunggal,157/39/04,SK LKTP Kledang,1611,1044,71
,Sening,157/39/05,SK (FELDA) Sening,1459,1023,106
,Bukit Keledang,157/39/06,SMK Adela,1038,740,57
,Ladang Santi,157/39/07,SK Kg. Baru Pasir Gogok,64,13,3
,Kampong Pasir Gogok,157/39/08,SK Kg. Baru Pasir Gogok,254,109,57
,Pengerang,157/39/09,SK Pengerang,206,178,64
,Kampong Jawa,157/39/10,SJK (C) Yok Poon,149,98,51
,Kampong Sungai Kapal,157/39/11,SK Sungai Rengit,470,275,253
,Lepau,157/39/12,SK Lepau,73,65,2
,Sungai Rengit,157/39/13,SK Sungai Rengit,378,216,140
,Pekan Sungai Rengit,157/39/14,SJK (C) Yok Poon,402,590,100
,Telok Ramunia,157/39/15,SK Telok Ramunia,1446,1036,434
