P158 Tebrau,,,,,,,,,
,,,,Votes,,,,,
State constituency,Polling districts,Code,Location,PH,PN,BN,PH23,PN23,MUDA23
Tiram (N40),Ulu Tiram Barat,158/40/01,SA Taman Bukit Tiram,1945,1385,788,,,
,Bandar Ulu Tiram Barat,158/40/02,SK Taman Bukit Tiram,2711,1499,1027,,,
,Bandar Ulu Tiram Tengah,158/40/03,SMK Ulu Tiram,359,26,51,,,
,Bandar Ulu Tiram Utara,158/40/04,SK Ulu Tiram,834,438,277,,,
,Bandar Ulu Tiram Selatan,158/40/05,SJK (C) Tiram,2217,446,515,,,
,Ara Cemerlang,158/40/06,Dewan Seberguna Desa Cemerlang,1399,354,289,,,
,Ulu Tiram Timor,158/40/07,SA Bandar Tiram,2149,643,642,,,
,Nam Heng,158/40/08,SK Nam Heng,99,328,377,,,
,Sungai Tiram,158/40/09,SK Sungai Tiram,599,2336,1439,,,
,Kong Kong,158/40/10,SK Kongkong Laut,181,408,446,,,
,Kampung Cahaya Baru,158/40/11,SK Cahaya Baru,331,1860,1118,,,
,Kota Masai,158/40/12,"- SMK Kota Masai
   - SA Taman Kota Masai 2",1765,3079,1452,,,
,Kota Delima,158/40/13,SK Kota Masai,1869,5993,2154,,,
,Tanjong Langsat,158/40/14,SK Tanjong Langsat,37,260,263,,,
,Tanjong Kopok,158/40/15,SK Tanjong Langsat,22,197,223,,,
,Pasir Puteh,158/40/16,SK Pasir Puteh,538,3183,1663,,,
,Taman Pasir Puteh,158/40/17,SK Taman Pasir Putih,1812,2207,854,,,
,Desa Jaya,158/40/18,SK Taman Desa Jaya,2608,905,579,,,
,Cahaya Masai,158/40/19,SK Kopok,945,2462,918,,,
,Lembah Ehsan,158/40/20,SA Taman Desa Jaya,3514,1094,587,,,
,Lanjut Cemerlang,158/40/21,SA Taman Desa Cemerlang,1704,279,266,,,
,Cemerlang Tropika,158/40/22,SK Desa Cemerlang,2551,368,339,,,
,Kampung Sentosa,158/40/23,SA Dato' Hj. Abd Rahman Ahmad,66,804,516,,,
,Kota Pulasan,158/40/24,SK Kota Masai 2,1072,1790,621,,,
Puteri Wangsa (N41),FELDA Ulu Tebrau,158/41/01,"- SA Taman Desa Cemerlang
   - SK (FELDA) Ulu Tebrau",428,2344,1586,705,1203,22
,Maju Jaya,158/41/02,SK Kg. Maju Jaya,702,1656,1225,718,1078,36
,Nipah Delima,158/41/03,SK Taman Daya 2,1034,450,289,659,602,52
,Puteri Wangsa 1,158/41/04,"- SA Sabilul Muhtadin Taman Puteri Wangsa
   - Dewan Raya Taman Puteri Wangsa",5015,1250,723,3009,2476,251
,Mount Austin,158/41/05,"- SMK Taman Mount Austin
   - SJK (C) Foon Yew 5",6452,1055,866,3760,3144,323
,Bertam Delima,158/41/06,SK Taman Daya,1195,396,235,737,631,60
,Pekan Pandan,158/41/07,SJK (C) Pandan,1672,439,408,1008,934,84
,Kangkar Tebrau Baru,158/41/08,SK Kangkar Tebrau,544,444,385,388,468,28
,Kangkar Tebrau,158/41/09,SA Kangkar Tebrau,253,676,335,275,319,13
,Ladang Tebrau,158/41/10,SJK (T) Ladang Tebrau,1688,1969,1018,1323,1337,85
,Taman Gembira,158/41/11,Balai Raya Taman Gembira,390,635,544,342,510,20
,Bukit Jaya,158/41/12,SMK Puteri Wangsa,2975,704,501,1778,1516,149
,Rumbia Daya,158/41/13,SMK Taman Daya,2529,826,508,1557,1342,127
,Nibong Daya,158/41/14,SMK Tun Fatimah Hashim,2002,938,467,1289,1105,101
,Puteri Wangsa 2,158/41/15,SK Taman Puteri Wangsa,2526,579,443,1506,1299,127
,Pelangi Gaya,158/41/16,"- SMK Taman Pelangi Indah
   - SK Taman Pelangi Indah",5675,714,529,3265,2614,284
,Pinang Sagu,158/41/17,SK Taman Daya 3,2610,883,546,1613,1399,131
,Setia Enau,158/41/18,SMK Taman Daya 2,7997,1842,1002,4767,3851,400
,Bukit Mutiara,158/41/19,SK Bukit Mutiara,2584,1611,859,1744,1592,130
,Desa Tebrau,158/41/20,SMK Taman Desa Tebrau,3735,628,427,2180,1772,187
