Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
7,1986,1990,Siti Zainabon Abu Bakar,BN-UMNO,27138-62.79%,11053-25.58%
8,1990,1995,Siti Zainabon Abu Bakar,BN-UMNO,34883-63.48%,14819-26.96%
9,1995,1999,Siti Zainabon Abu Bakar,BN-UMNO,44670-88.98%,39140-77.96%
10,1999,2004,Mohd Ali Hassan,BN-UMNO,49284-78.13%,35485-56.26%
11,2004,2008,Teng Boon Soon,BN-MCA,32071-84.11%,26011-68.22%
12,2008,2013,Teng Boon Soon,BN-MCA,30975-65.77%,14851-31.54%
13,2013,2018,Khoo Soo Seang,BN-MCA,39985-51.13%,1767-2.26%
14,2018,2021,Steven Choong Shiau Yoon,PH-PKR,64535-62.09%,37225-36.42%
14.33,2021,2021,Steven Choong Shiau Yoon,INDEPENDENT,N/A,N/A
14.66,2021,2022,Steven Choong Shiau Yoon,PBM,N/A,N/A
15,2022,,Jimmy Puah Wee Tse,PH-PKR,83959-49.99%,30720-18.29%
