P159 Pasir Gudang,,,,,,,
,,,,Votes,,,
State constituency,Polling districts,Code,Location,PH,PN,BN,PEJUANG
Johor Jaya（N42）,Pandan,159/42/01,SA Kg Melayu Pandan,308,1390,1498,20
,Taman Molek,159/42/02,SK Taman Molek,2977,456,643,12
,Johor Jaya Barat,159/42/03,"- SK Taman Johor Jaya 1
   - SMA Johor Bahru",3091,240,447,16
,Johor Jaya Selatan,159/42/04,SJK (C) Johor Jaya,1911,389,647,10
,Johor Jaya Timor,159/42/05,SMK Taman Johor Jaya (1),2308,497,620,19
,Johor Jaya Tengah,159/42/06,SA Taman Johor Jaya,2002,294,427,11
,Johor Jaya Utara,159/42/07,"- SMK Taman Johor Jaya 2
   - SK Taman Johor Jaya 5",3192,343,529,29
,Bandar Plentong Utara,159/42/08,SJK (C) Chien Chi,204,21,62,1
,Bandar Plentong Selatan,159/42/09,"- SA Tun Hussein Onn Plentong
   - SJK (C) Chien Chi
   - Dewan Raya Plentong",2538,940,1040,27
,Taman Saujana,159/42/10,SA Taman Molek,336,1176,1516,18
,Plentong,159/42/11,"- Dewan Raya Plentong
   - SJK (C) Chien Chi",451,324,462,7
,Masai,159/42/12,"- SMK Dato' Penggawa Timur
   - SK Seri Alam 2",2839,1681,1240,80
,Teratai,159/42/13,SK Taman Johor Jaya 3,1902,302,389,2
,Keembong,159/42/14,SK Taman Johor Jaya 2,3656,589,377,17
,Seri Alam,159/42/15,Dewan Raya Bandar Seri Alam,3345,1029,737,41
,Molek Harmoni,159/42/16,"- SMK Taman Molek
   - Dewan Taman Molek",2994,1240,1436,28
,Tasek Seri Alam,159/42/17,"- SMK Bandar Seri Alam
   - SA Bandar Seri Alam",2313,2034,1497,38
,Belantik,159/42/18,SK Sri Amar,299,850,1105,18
,Sri Amar,159/42/19,Dewan Badminton Sri Amar,599,438,557,10
Permas（N43）,Bandar Masai Utara,159/43/01,SJK (T) Masai,489,458,551,51
,Bandar Masai Tengah,159/43/02,SK Masai,733,317,273,16
,Bandar Masai Selatan,159/43/03,SJK (C) Masai,832,382,404,18
,Permas,159/43/04,SK Permas Jaya 1,1823,657,774,22
,Permas Jaya,159/43/05,SMK Permas Jaya,2938,307,449,13
,Senibong,159/43/06,SK Permas Jaya 4,3012,169,442,6
,Taman Kota Puteri,159/43/07,SK Seri Kota Puteri,2103,861,965,25
,Kampong Telok Jawa,159/43/08,SJK (C) Chee Tong,1069,533,527,11
,Rinting Cendana,159/43/09,SK Taman Rinting 1,2006,872,699,34
,Taman Mawar,159/43/10,"- SMK Pasir Gudang 2
   - SA Taman Mawar
   - Dewan Terbuka Kg. Pasir Gudang Baru
   - Tabika KEMAS Kg. Pasir Gudang Baru",1231,1978,1729,47
,Pasir Gudang,159/43/11,"- SK Taman Cendana
   - SA Taman Cendana",694,2310,2333,49
,Pelabuhan Pasir Gudang,159/43/12,SK Pasir Gudang (2),243,529,464,8
,Taman Air Biru,159/43/13,SK Pasir Gudang 3,617,1191,820,19
,Rumah Pangsa PKENJ,159/43/14,"- SA Pasir Gudang 2
   - SMK Pasir Gudang",1218,2126,1379,32
,Permas 2,159/43/15,SK Taman Permas Jaya 2,1422,637,862,21
,Taman Megah Ria,159/43/16,SMK Taman Megah Ria,3201,753,814,30
,Rinting Meranti,159/43/17,SA Taman Rinting,797,1173,957,18
,Rinting Balau,159/43/18,SMK Taman Rinting 2,2816,1116,950,27
,Nusa Damai,159/43/19,SK Taman Nusa Damai,875,1310,728,19
,Taman Bukit Dahlia,159/43/20,SK Taman Bukit Dahlia,1003,1683,838,48
,Bandar Baru Permas Jaya,159/43/21,SK Taman Permas Jaya 3,1630,524,755,11
,Kampong Plentong Baru,159/43/22,Tadika Kemas Kg. Plentong Baru,474,388,604,10
,Taman Scientex,159/43/23,"- SK Taman Scientex
   - SMK Taman Scientex",2030,3968,2218,54
