P162 Iskandar Puteri,,,,,,
,,,,Votes,,
State constituency,Polling District,Code,Location,PH,BN,PN
Skudai (N48),Jaya Mas,162/48/01,SK Taman Selesa Jaya,2886,423,276
,Selesa Jaya,162/48/02,SMK Taman Selesa Jaya,2115,66,366
,Sri Sinding,162/48/03,SMK Taman Selesa Jaya,2118,265,132
,Impian Emas,162/48/04,SK Taman Impian Emas,2551,530,609
,Sri Skudai,162/48/05,SA Nur Batu 10 Skudai,3464,797,537
,Bandar Skudai Barat,162/48/06,SK Sekudai Batu 10,699,402,214
,Bandar Skudai Tengah,162/48/07,SJK (C) Pu Sze,1647,211,48
,Bandar Skudai Timor,162/48/08,SJK (C) Pu Sze,93,22,4
,Hang Tuah,162/48/09,"- SK Taman Skudai Baru
   - SA Taman Skudai Baru",4510,1037,613
,Laksamana Tuta,162/48/10,SK Taman Tun Aminah,2276,600,376
,Nakhota Tuta,162/48/11,"- SMK Taman Tun Aminah
   - SMK Taman Sutera",4587,356,660
,Flat Perkasa 'A' Tuta,162/48/12,SJK (T) Taman Tun Aminah,2204,366,115
,Taman Damai Jaya,162/48/13,"- SK Taman Damai Jaya
   - SA Taman Damai Jaya",3040,1602,1272
,Desa Skudai,162/48/14,"- Dewan Raya Taman Sri Skudai
   - Padang Awan Taman Sri Skudai
   - SK Desa Skudai",3106,873,848
,Hang Jebat,162/48/15,"- SMK Damai Jaya
   - SMK Taman Selesa Jaya 2
   - SK Taman Skudai Baru 2",6845,1199,837
,Perwira Tuta,162/48/16,Dewan Raya Taman Ungku Tun Aminah,1851,694,570
,Hulubalang Tuta,162/48/17,SK Taman Tun Aminah 2,2397,352,209
,Skudai Utara,162/48/18,SJK (C) Kuo Kuang,1302,359,68
,Flat Perkasa 'B' Tuta,162/48/19,SA Taman Ungku Tun Aminah,2567,512,204
,Taman Jaya,162/48/20,SMK Taman Impian Emas,884,540,374
,Bukit Impian,162/48/21,SJK (C) Thai Hong,938,145,106
Kota Iskandar (N49),Mutiara Rini,162/49/01,"- SK Taman Mutiara Rini
   - SMK Taman Mutiara Rini 2
   - SJK (C) Thorburn",884,540,374
,Kangkar Pulai,162/49/02,SJK (C) Pulai,2415,553,349
,Pertanian,162/49/03,SA Tafrijiyyah Taman Universiti,1917,1224,1127
,Kebangsaan,162/49/04,"- SMK Taman Universiti 2
   - SK Taman Universiti 4",3421,1195,1160
,Lima Kedai,162/49/05,SJK (C) Ping Ming,1026,1039,539
,Gelang Patah Utara,162/49/06,"- SK Gelang Patah
   - SA Gelang Patah",948,2311,1318
,Kampung Pulai,162/49/07,SK Kampung Pulai,43,304,252
,Sungai Melayu,162/49/08,SK Sungai Melayu,357,396,300
,Tebing Runtoh,162/49/09,SK Sikijang,24,155,32
,Kampong Pendas,162/49/10,SK Pendas Laut,29,160,83
,Gelang Patah Selatan,162/49/11,SMK Gelang Patah,662,438,87
,Tiram Duku,162/49/12,SK Tiram Duku,216,997,847
,Tanjong Kupang,162/49/13,SK Tanjung Kupang,82,447,299
,Kampong Pok Besar,162/49/14,SK Morni Pok,34,264,179
,Tanjong Adang,162/49/15,SK Tanjong Adang,114,720,419
,Penyiaran,162/49/16,SK Taman Universiti 1,2031,637,485
,Kemuliaan,162/49/17,"- SMK Taman Universiti
   - SK Taman Universiti 3",3531,936,739
,Perubatan,162/49/18,SK Taman Universiti 2,1462,765,686
,Pulai Indah,162/49/19,"- SK Kangkar Pulai
   - SA Taman Pulai Indah",2945,2434,3190
,Pulai Utama,162/49/20,SA Taman Universiti,3812,655,660
,Sri Pulai Perdana,162/49/21,SK Sri Pulai Perdana,1828,715,828
,Pulai,162/49/22,SJK (C) Woon Hwa,1773,1124,1507
,Sri Pulai,162/49/23,"- SK Taman Sri Pulai
   - Dewan Raya Taman Sri Pulai",2239,1035,1050
,Teratai,162/49/24,SA Taman Seri Pulai,1584,907,956
,Nusa Perintis,162/49/25,"- SK Taman Nusa Perintis
   - SK Nusantara
   - SMK Taman Nusa Jaya",4136,2242,1895
