P171 Sepanggar,,,,,,,,
,,,,Votes,,,,
State constituency,Polling District,Code,Location,PH,BN,WARISAN,KDM,PEJUANG
Karambunai (N16),Karambunai,171/16/01,"- SK Pangiran Siti Hafsah Karambunai
   - SK Gantisan",162,966,686,105,14
,Gudon,171/16/02,SMK Bandaraya Manggatal Kota Kinabalu,666,1532,789,113,25
,Taman Indah Permai,171/16/03,"- Institut Latihan Perindustrian Kota Kinabalu
   - Institut Penyelidikan dan Kemajuan Pertanian Malaysia (MARDI)
   - SK Unggun Menggatal",1963,2207,1904,384,85
,Kibagu,171/16/04,"- SK Kebagu
   - Dewan Serbaguna Kompleks Pentadbiran Kerajaan Persekutuan Sabah",348,863,1799,248,14
,Telipok Laut,171/16/05,SK Malawa,708,542,280,182,23
,Telipok Darat,171/16/06,SMK Pekan Telipok,1494,1119,1283,105,23
,Pulau Sepanggar,171/16/07,SK Pulau Sepanggar,2,74,97,31,1
Darau (N17),Likas Baru,171/17/01,"- Dewan Serbaguna DBKK Likas
   - Dewan Amil Jaya, DBP Cawangan Sabah",499,1315,1382,154,77
,Likas Darat,171/17/02,SK Likas,287,521,515,49,15
,Kampong Likas,171/17/03,SA Negeri Kampung Likas Kota Kinabalu,576,985,1246,131,46
,Bangka-Bangka,171/17/04,SRS Datuk Simon Fung,1164,507,588,51,48
,Kurol Melangi,171/17/05,SMK All Saints,341,289,325,35,11
,Darau,171/17/06,SK Darau,582,1070,284,95,18
,Warisan,171/17/07,SMK Inanam,717,1259,1399,155,44
,Rampayan,171/17/08,Institut Sinaran Kota Kinabalu,701,1292,511,203,37
Inanam (N18),Inanam Laut,171/18/01,"- SK Lok Yuk Inanam
   - SK Inanam Laut",974,824,525,129,31
,Tebobon,171/18/02,"- SK Tebobon
   - SMK Tebobon",1495,1020,729,298,48
,Kokol,171/18/03,SK Kokol,740,241,125,142,8
,Menggatal,171/18/04,SJK (C) Good Shepherd Menggatal,2120,409,500,117,12
,Pulutan,171/18/05,SJK (C) Lok Yuk Menggatal,875,212,227,66,4
,Inanam Darat,171/18/06,"- SK Kionsom Inanam
   - SK Pomotodon",2387,428,438,327,20
,Poring-Poring,171/18/07,SK Poring-Poring,162,69,10,19,0
,Kolam Ayer,171/18/08,SJK (C) Yick Nam,744,173,231,118,12
,Cenderakasih,171/18/09,"- SK Mutiara Kota Kinabalu
   - SMA Kota Kinabalu",2579,418,776,49,18
,Pekan Inanam,171/18/10,"- SK Kolombong Kota Kinabalu
   - SMK Kolombong",2475,312,578,148,15
,Bantayan,171/18/11,SK Bantayan,1808,226,520,282,15
