P173 Putatan ,,,,,,,
,,,,Votes,,,
State constituency,Polling Districts,Code,Location,BN,PH,WARISAN,PEJUANG
Tanjung Aru (N22）,Pulau Gaya,173/22/01,SK Pulau Gaya,,,,
,Sembulan Utara,173/22/02,"- SK Sembulan
   - Dewan Serbaguna Sembulan",,,,
,Sembulan Selatan,173/22/03,SMK Sanzac,,,,
,Tanjung Aru Timor,173/22/04,SMK Stella Maris,,,,
,Tanjung Aru Barat,173/22/05,SMK La Salle Tg Aru,,,,
,Lapangan Terbang,173/22/06,SK Tanjung Aru II,,,,
,Tanjung Aru Baru,173/22/07,SK Stella Maris,,,,
Petagas (N23）,Petagas,173/23/01,SK Petagas,,,,
,Ulu Putatan,173/23/02,SJK (C) Hwa Shiong,,,,
,Bandar Putatan,173/23/03,SA Negeri Putatan Penampang,,,,
,Paapason,173/23/04,SMK Tansau,,,,
,Tengah Padang,173/23/05,SA Negeri Petagas Penampang,,,,
,Tombovo,173/23/06,"Sekolah Pendidikan Khas Sabah, Putatan",,,,
Tanjung Keramat (N24）,Muhibbah,173/24/01,"- SK Kg Contoh
   - SA Rakyat Tanjung Dumpil
   - Madrasah Assalam Kg Contoh",,,,
,Pasir Putih,173/24/02,"- SMK Putatan
   - SK Pekan Putatan",,,,
,Lok Kawi,173/24/03,SK Tombovo,,,,
,Taman Pantai Lok Kawi,173/24/04,Dewan Masyarakat Lok Kawi,,,,
