P185 Batu Sapi,,,,,,,,
,,,,Votes,,,,
State constituency,Polling District,Code,Location,GRS,PH,WARISAN,PEJUANG,BEBAS
Sekong (N53),Jalan Sibuga,185/53/01,"- SMA Tun Juhar
   - SK Mawar",1260,2854,1109,28,17
,Kampung Gas,185/53/02,"- SK Gas
   - SK Bambangan",1660,110,661,15,10
,Jalan Batu Sapi,185/53/03,SMK Batu Sapi,1341,137,890,11,12
,Tronglit,185/53/04,SK Pulau Timbang,607,14,192,3,3
,Sekong,185/53/05,SK Segaliud,568,48,184,7,7
,Lupak Meluas,185/53/06,SK Kg Bahagia,1787,126,1228,17,17
,Pulau Sanghai,185/53/07,SK Pulau Sanghai,366,26,63,0,1
Karamunting (N54),Cecily,185/54/01,SJK (C) Yuk Choi,166,1261,148,7,1
,Tanah Merah,185/54/02,SJK (C) Sung Siew,284,895,255,4,7
,Jalan Leila,185/54/03,Tadika Sung Siew,353,796,343,6,8
,Kampung Gelam,185/54/04,"- Perpustakaan Wilayah Sandakan
   - SK Bandar Sandakan",283,451,241,7,7
,Karamunting,185/54/05,SK Karamunting,1921,293,886,32,13
,Bokara,185/54/06,SK Sri Melanta Jaya,1000,195,701,10,5
