P188 Lahad Datu,,,,,,
,,,,Votes,,
State constituency,Polling District,Code,Location,WARISAN,BN,PH
Tungku (N60),Segangan,188/60/01,SK Bikang,588,354,84
,Silabukan,188/60/02,SMK Silabukan,984,889,226
,Ulu Tungku,188/60/03,SK Sri Darun,447,350,134
,Tungku,188/60/04,"- SMK Tungku
   - SK Bangingod",968,1756,141
,FELDA Sahabat,188/60/05,"- SK Sahabat 16
   - SK Cenderawasih
   - SK Sahabat II",2131,1935,262
,Tambisan,188/60/06,Mini Dewan Tambisan Darat,269,335,42
,Tanjung Labian,188/60/07,SK Tanjung Labian,329,571,22
Segama (N61),Belacon,188/61/01,SMK Segama,302,374,286
,Dam Road,188/61/02,SMK Agasah,475,326,608
,North Road,188/61/03,SK Lahad Datu II,296,176,282
,Tengah Nipah,188/61/04,SK Binuang,1415,741,270
,Ulu Segama,188/61/05,SK Sandau,290,504,241
,Segama,188/61/06,SJK (C) Kiau Shing,625,837,385
,Tabanac,188/61/07,SK Lahad Datu IV,1273,982,534
,Singgahmata,188/61/08,SK Pekan,1430,826,396
,Jalan Segama,188/61/09,SJK (C) Yuk Choi,587,792,540
Silam (N62),Sepagaya,188/62/01,SK Teruasan,1779,1744,701
,Sakar,188/62/02,SK Tanjong Paras,260,153,18
,Bandar Lahad Datu,188/62/03,SK Lahad Datu III,947,548,519
,Lapangan Terbang,188/62/04,SMK St. Dominic,810,751,679
,Panji Baru,188/62/05,SK St. Dominic,1184,560,195
,Taman Fajar,188/62/06,SJK (C) Siew Ching,690,445,441
,Silam,188/62/07,SK Silam,979,585,158
Kunak (N63),Mostyn,188/63/08,SK Mostyn,517,827,157
,Madai,188/63/02,SMK Madai,936,761,131
,Kampung Kunak,188/63/03,SK Kunak I,428,303,74
,Gidam,188/63/04,SK Ladang Giram,463,714,71
,Pengkalan Kunak,188/63/05,SMK Kunak,814,650,68
,Kunak Jaya,183/63/06,SK Kampung Selamat,1219,460,96
,Pangi,183/63/07,SK Pangi,571,324,31
,Pekan Kunak,183/63/08,SMK Kunak Jaya,1723,1275,236
