P194 Petra Jaya,,,,,,
,,,,Votes,,
State constituency,Polling Districts,Code,Location,GPS,PH,SEDAR
Tupong（N06）,Tupong,0194/06/01,"- SK Rakyat Tupong
   - Tabika Kemas Kpg. Tupong Tengah",2069,263,43
,Gita,0194/06/02,"- SMK Tuanku Abdul Rahman Jln. Matang
   - Dewan Serbaguna Kpg. Pinang Jawa",3995,872,63
,Sungai Tengah,0194/06/03,"- SJK (C) Sungai Tengah Jln. Sungei Tengah Matang
   - Dewan Serbaguna Kpg. Sagah
   - Dewan Serbaguna Datuk Amar Dr Sulaiman Daud Kpg. Kolong Dua
   - SK Tan Sri Datuk Haji Mohamed Taman Malihah
   - Dewan Serbaguna Taman Malihah",4690,1895,80
,Rahmat,0194/06/04,"- SK Gita
   - Perkarangan Tempat Kereta Taman Hussein / Rahmat",971,239,8
,Sinjan,0194/06/05,Dewan Sri Tanjong Kpg. Tanjong,1079,149,7
,Sejoli,0194/06/06,"- SK Tan Sri Dr Hj Sulaiman Daud
   - SMK Petra Jaya",1261,540,21
,Paroh,0194/06/07,Dewan Serbaguna Kpg Paroh,689,80,5
,Matang,0194/06/08,"- SJK (C) Chung Hua Batu 7 Jln. Matang
   - SMK Matang
   - SK Matang
   - Dewan Pendidikan dan Sosial Kpg. Matang Batu 10 Jln. Matang
   - SK Matang Jaya
   - SK Petra Jaya
   - Dewan Serbaguna Taman Heng Guan",7090,3345,141
,Sri Wangi,0194/06/09,Pusat Latihan ABIM Taman Sri Wangi Petra Jaya,1280,257,23
Samariang (N07),Samariang,0194/07/01,"- SK Samariang Kpg. Samariang Batu
   - Surau Darul Amin Samariang Jaya, Fasa 2",3197,347,75
,Lintang,0194/07/02,SK Encik Buyong,1505,197,16
,Kandis,0194/07/03,Kolej Datuk Patinggi Abang Abdillah,2792,592,72
,Semerah Padi,0194/07/04,SMK Semerah Padi,3915,589,87
,Sukma,0194/07/05,"- SK Madrasah Datuk Hj Abdul Kadir Hasan
   - Dewan Temenggong, Kpg. Semariang Baru Fasa III",4131,690,72
,Kampong Tunku,0194/07/06,"- Dewan Masyarakat Sg. Lumut
   - SK Rancangan Perumahan Rakyat PPR",2279,378,52
,Bedil,0194/07/07,Dewan Masyarakat Baru Kpg. Lintang,984,118,14
,Astana Lot,0194/07/08,Dewan SK Encik Buyong,1450,177,24
Satok (N08),Segedup,0194/08/01,"- Tabika Kemas Kpg. Sg. Maong
   - Dewan Serbaguna Kpg. Segedup",1679,145,26
,Patingan,0194/08/02,Dewan Datuk Merpati Jepang,605,81,14
,Satok,0194/08/03,SK Rakyat Jln. Haji Bolhasaan,1772,363,31
,Masjid,0194/08/04,SMJK Chung Hua No.4 Jln. Haji Taha,625,92,21
,Maderasah,0194/08/05,Ibu Pejabat Bulan Sabit Merah,33,21,0
,Reservoir,0194/08/06,SK St. Joseph Jln. Were,241,104,2
,Nanas,0194/08/07,SJK (C) Chung Hua No. 4,2092,1317,60
,Patinggi Ali,0194/08/08,SK Merpati Jepang,2194,318,46
