P198 Puncak Borneo,,,,,,
,,,,Votes,,
State constituency,Polling Districts,Code,Location,GPS,PH,PSB
Serembu（N18）,Siniawan,198/18/01,SJK (C) Chung Hua Siniawan,489,425,141
,Kranji,198/18/02,SJK (C) Chung Hua Keranji,263,113,22
,Kopit,198/18/03,Balai Raya Kpg. Kopit,389,127,187
,Krokong,198/18/04,Dewan Masyarakat Krokong,471,169,367
,Podam,198/18/05,SK Podam,350,108,108
,Penijau Baru,198/18/06,Balai Raya Kpg. Peninjau Baru,392,74,1441
,Merembeh,198/18/07,Balai Raya Merembeh,323,33,45
,Kandis,198/18/08,SK Siniawan,329,103,47
,Sungai Pinang,198/18/09,SK Sg. Pinang,319,145,119
,Paku,198/18/10,SJK (C) Chung Hua Paku,317,146,89
,Tanjung Durian,198/18/11,SK Serembu,237,170,88
,Seropak,198/18/12,Balai Raya Kpg. Seropak,188,26,31
,Seromah,198/18/13,Balai Raya Kpg. Seromah,188,144,111
,Segubang,198/18/14,Balai Raya Kpg. Segubang,195,44,73
,Sogo,198/18/15,"- Dewan Serbaguna Kpg. Skio
   - Balai Raya Kpg. Sogo",427,106,149
,Rabak Rotan,198/18/16,Dewan Tringgus Bong,247,96,92
,Pangkalan Tebang,198/18/17,"- Balai Raya Pangkalan Tebang
   - Balai Raya Ledan Gumbang",138,32,83
,Monggak,198/18/18,Balai Raya Bijurey,211,100,248
,Blimbin,198/18/19,Balai Raya Kpg. Blimbin,126,92,107
,Gumbang,198/18/20,Balai Raya Kpg. Gumbang,196,34,111
,Padang Pan,198/18/21,Dewan Serbaguna Kpg. Padang Pan,164,17,74
,Puak Krokong,198/18/22,Dewan Serbaguna Kpg. Puak Krokong (Baru),100,30,89
Mambong (N19),Mambong,198/19/01,Balai Raya Kpg. Mambong,391,346,53
,Siburan,198/19/02,SJK (C) Chung Hua Siburan,1854,2616,258
,Braang,198/19/03,"- Dewan Serbaguna Kpg. Bara'ang Payang
   - Balai Raya Kpg Bra'ang Sigandar",327,148,33
,Duras,198/19/04,Balai Raya Kpg. Duras,287,130,31
,Pulasar,198/19/05,SJK (C) Chung Hua Batu 15,412,200,63
,Nyiru,198/19/06,SK St. Gile,165,248,16
,Giam,198/19/07,Dewan Serbaguna Kpg. Giam Baru,136,226,19
,Sikog,198/19/08,Balai Raya Kpg. Sikog,431,233,48
,Staang,198/19/09,Balai Raya Kpg. Staang,148,36,11
,Petag,198/19/10,SK Staang Petag,222,98,10
,Bayor,198/19/11,Balai Raya Kpg. Bayor,143,42,6
,Jambu,198/19/12,SK Kpg. Emperoh Jambu,241,167,12
,Semban,198/19/13,Dewan Serbaguna Kpg. Semban Begoh Resettlement Scheme,147,75,96
,Tebia,198/19/14,Dewan Serbaguna Kpg. Sait Bengoh Resettlement Scheme,199,122,13
,Danu,198/19/15,Balai Raya Kpg. Danu,91,69,17
,Temurang,198/19/16,"- Balai Raya Kpg. Temurang Baru
   - Balai Raya Kpg. Biya Jaber",160,40,18
,Bengoh,198/19/17,Balai Raya Kpg. Begoh,200,91,25
,Gerung,198/19/18,Balai Raya Kpg. Gerung,224,243,24
,Semadang,198/19/19,SK St. Patrick Semadang,294,60,28
,Karu,198/19/20,SK Puruh Karu,369,142,34
,Seratau,198/19/21,SK St. Francis Xavier Kpg. Seratau,596,560,83
,Punau,198/19/22,SK St. George Punau,564,263,85
,Bunuk,198/19/23,SK St. Paul Bunuk,968,306,47
,Batu Gong,198/19/24,Balai Raya Batu Gong,282,115,31
