P206 Tanjong Manis,,,,,
,,,,Votes,
State constituency,Polling Districts,Code,Location,GPS,PH
Kuala Rajang（N41）,Selalang,206/41/01,SK Mandor Aris Kpg. Selalang,556,44
,Belawai,206/41/02,"- SK Stalun
   - SK Abang Gesa",1794,123
,Rajang,206/41/03,"- SK Bayang
   - SK Abang Galau
   - SK Abang Buyuk Kpg. Jerijeh",1453,210
,Sari,206/41/04,"- SK Jawa Kerubong Jln. Selalang
   - SK Adin Sare
   - SK Bukit Kinyau
   - SK Sentebu
   - SK St. Andrew Sare",1348,448
,Seberang,206/41/05,"- SK Muara Payang Sarikei
   - SK Abang Haji Matahir Sarikei
   - SRA Kpg. Baru Seberang Sarikei",3296,579
,Nanga Lepa,206/41/06,RH Gabriel Ng Lepa,89,23
Semop (N42),Paloh,206/42/01,"- SK Kpg. Sebako
   - Surau Kpg. Sedi
   - SK O.K.M. Pakeri Paloh
   - Dewan Serbaguna, Berangan Paloh
   - Tadika KEMAS Kpg. Kedang",806,22
,Mupong,206/42/02,"- SK Mupong
   - SK Mupong Ulin",316,49
,Semop,206/42/03,"- SK Kpg. Serdeng
   - SK Telok Gelam
   - SK Kpg. Bekakong
   - SK Kpg. Semop",1127,159
,Saai,206/42/04,"- SK Kpg. Kuit
   - SK Mohamad Radeh Kpg. Saie",316,16
,Tekajong,206/42/05,"- SK Penibong
   - SK Kpg. Betanak
   - SK Salah Kecil
   - SK Kpg. Penipah
   - SK Kpg. Tekajong",2185,376
,Bruit,206/42/06,SK Kpg. Bruit,705,105
,Bunut,206/42/07,"- SK Selidap
   - SJK (C) Ming Shing Sg. Sian
   - SK Sg. Sian
   - SK Tanjong Bundong",628,156
,Bintangor,206/42/08,SK Abang Amin Bintangor,1299,227
