Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
8,1990,1995,Joseph Mauh Ikeh,INDEPENDENT,5443-49.66%,1025-9.35%
9,1995,1999,Joseph Mauh Ikeh,BN-PBDS,8021-72.07%,4913-44.14%
10,1999,2004,Joseph Mauh Ikeh,BN-PRS,7612-65.58%,3617-31.16%
11,2004,2008,Joseph Entulu Belaun,BN-PRS,7876,64.90%,3616-29.80%
12,2008,2013,Joseph Entulu Belaun,BN-PRS,N/A,N/A
13,2013,2018,Joseph Entulu Belaun,BN-PRS,12040-58.97%,7555-37.00%
13.5,2018,2018,Joseph Entulu Belaun,INDEPENDENT,N/A,N/A
14,2018,2020,Baru Bian,PH-PKR,11228-51.11%,486-2.21%
14.33,2020,2020,Baru Bian,INDEPENDENT,N/A,N/A
14.66,2020,2022,Baru Bian,PSB,N/A,N/A
15,2022,,Edwin Banta,GPS-PRS,,16078-55.83%,4986-17.31%
