P218 Sibuti,,,,,,
,,,,Votes,,
State constituency,Polling Districts,Code,Location,GPS,PH,PBDS
Bekenu（N71）,Batu Niah,218/71/01,SJK (C) Chee Mung Niah,609,476,66
,Niah,218/47/02,"- SK Rancangan Sepupok Sebatu Niah
   - Dewan Masyarakat Sepupok
   - SK Kpg. Tarikan Kuala Niah
   - SK Kita Niah",1745,377,140
,Saeh,218/71/03,"- SK RH Mantali
   - SK Sg. Saeh Niah
   - Balai Raya RH Daud
   - SK Kpg. Tg. Belipat
   - SK Tanggap Niah",1563,339,130
,Kelulit,218/71/04,"- Balai Raya Kuala Sibuti
   - SK Beliau Isa Sibuti",809,44,4
,Tiris,218/71/05,"- SK Beliau Ahad Sibuti
   - SJK (C) Chung Hua Lumut Sibuti",887,110,7
,Bungai,218/71/06,"- SK Kpg. Abgus Sibuti
   - SK Kpg. Bungai Sibuti
   - Dewan Kampung Menjelin
   - Balai Raya Kpg. Selanyau",1448,99,5
,Bekanu,218/71/07,"- SK Kpg. Bulau Sibuti
   - SJK (C) Chung Hua Bekenu",1153,301,22
,Bakas,218/71/08,"- SK RH Tinggi Pakut, Sibuti
   - SK Sg. Bakas Sibuti
   - SK RH Esaau
   - SK Kelapa Sawit No. 4 Ladang Tiga",1390,502,174
,Hulu Sibuti,218/71/09,SK RH Barat,159,63,18
Lambir (N72),Peninjau,218/72/01,"- SMK Luar Bandar Bekenu Sibuti
   - RH Duat Sg. Kelintang
   - RH James Biri
   - Dewan Pusat Pembangunan Kemahiran Sarawak (PPKS)
   - SK Kelapa Sawit No. 2 Bukit Peninjau
   - RH Lagan",1747,533,233
,Satap,218/72/02,"- SK Keluru Tengah Sibuti
   - SK Tawakal Satap Sibuti",1863,130,11
,Bakam,218/72/03,"- SJK (C) Chung Hua Sg. Rakit Bakam
   - SK Kpg. Bakam Miri
   - SJK (C) Tukau",1775,648,37
,Lambir,218/72/04,SK Lambir Village Miri,2012,788,119
,Airport,218/72/05,"- SMK Riam Taman Tunku Miri
   - SMK Taman Tunku",3875,5778,378
,Tukau,218/72/06,SMK Agama,89,113,1
,RAMD,218/72/07,SMK Riam,10,1,0
